date,mean
1957-08-01,-429.37096774193515
1957-09-01,3999.587634408602
1957-10-01,-3692.68440860215
1957-11-01,76.45107526881645
1957-12-01,475.7908602150536
1958-01-01,-288.22580645161236
1958-02-01,1159.48732718894
1958-03-01,683.6417050691246
1958-04-01,-996.6274193548388
1958-05-01,-106.22741935483862
1958-06-01,1023.544086021505
1958-07-01,-66.65698924731169
1958-08-01,-1037.483870967742
1958-09-01,-136.17580645161252
1958-10-01,-627.0983870967738
1958-11-01,-630.3349462365597
1958-12-01,799.689784946237
1959-01-01,33.20967741935465
1959-02-01,1013.3588709677418
1959-03-01,-331.7137096774195
1959-04-01,-490.64462365591373
1959-05-01,238.56397849462383
1959-06-01,46.51935483870932
1959-07-01,1717.4806451612903
1959-08-01,-1337.1935483870961
1959-09-01,699.4962365591396
1959-10-01,-1125.5768817204303
1959-11-01,244.0768817204297
1959-12-01,68.64892473118289
1960-01-01,-993.3548387096774
1960-02-01,-214.4360400444939
1960-03-01,560.3715239154615
1960-04-01,3535.187096774194
1960-05-01,-2946.348387096774
1960-06-01,369.0317204301084
1960-07-01,-213.70913978494718
1960-08-01,-217.79032258064524
1960-09-01,-264.2838709677417
1960-10-01,3115.6870967741947
1960-11-01,-1188.8537634408606
1960-12-01,-884.968817204302
1961-01-01,-1696.1612903225803
1961-02-01,156.20391705069096
1961-03-01,-388.6232718894007
1961-04-01,380.6994623655912
1961-05-01,-369.9736559139782
1961-06-01,137.4069892473118
1961-07-01,1867.7704301075275
1961-08-01,-2065.6935483870975
1961-09-01,56.05645161290306
1961-10-01,268.20161290322574
1961-11-01,-439.9016129032258
1961-12-01,606.6112903225804
1962-01-01,-1096.8387096774193
1962-02-01,201.78456221198144
1962-03-01,-227.4781105990782
1962-04-01,717.9543010752689
1962-05-01,-231.0026881720429
1962-06-01,-121.26397849462376
1962-07-01,109.11881720430097
1962-08-01,539.0322580645167
1962-09-01,283.2489247311828
1962-10-01,252.05752688171992
1962-11-01,-930.6241935483872
1962-12-01,194.3338709677422
1963-01-01,-258.2419354838711
1963-02-01,-617.4740783410136
1963-03-01,68.78052995391698
1963-04-01,96.83494623655912
1963-05-01,182.71344086021526
1963-06-01,341.9698924731181
1963-07-01,-182.1634408602149
1963-08-01,381.0
1963-09-01,1597.7134408602155
1963-10-01,-1236.955376344087
1963-11-01,-832.3612903225804
1963-12-01,-179.4935483870969
1964-01-01,15.983870967741893
1964-02-01,75.43381535038941
1964-03-01,132.82424916573967
1964-04-01,267.2349462365588
1964-05-01,-294.88010752688115
1964-06-01,-429.5865591397853
1964-07-01,45.231720430107714
1964-08-01,-132.53225806451616
1964-09-01,591.9005376344086
1964-10-01,59.21236559139777
1964-11-01,-544.6456989247308
1964-12-01,-268.4510752688173
1965-01-01,102.24193548387075
1965-02-01,456.08294930875593
1965-03-01,-98.2603686635947
1965-04-01,-123.94677419354821
1965-05-01,-104.82741935483853
1965-06-01,1688.5274193548385
1965-07-01,-1234.091935483871
1965-08-01,-18.532258064516327
1965-09-01,150.77419354838707
1965-10-01,-640.9193548387096
1965-11-01,-28.197311827956867
1965-12-01,163.2456989247312
1966-01-01,89.53225806451587
1966-02-01,262.55299539170534
1966-03-01,466.25345622119823
1966-04-01,-282.501075268817
1966-05-01,358.43655913978455
1966-06-01,-347.31989247311867
1966-07-01,411.7231182795704
1966-08-01,18.612903225806576
1966-09-01,609.5806451612901
1966-10-01,-899.0161290322579
1966-11-01,-122.81720430107498
1966-12-01,189.36559139784902
1967-01-01,-134.61290322580646
1967-02-01,65.33064516129025
1967-03-01,-434.05645161290306
1967-04-01,612.6397849462365
1967-05-01,2412.682795698925
1967-06-01,-1768.0327956989254
1967-07-01,-596.0155913978492
1967-08-01,-55.3709677419356
1967-09-01,390.1532258064518
1967-10-01,-972.4919354838712
1967-11-01,456.52526881720405
1967-12-01,586.7166666666669
1968-01-01,-275.3870967741934
1968-02-01,628.749165739711
1968-03-01,286.7024471635151
1968-04-01,-338.0978494623653
1968-05-01,601.4365591397845
1968-06-01,1021.2467741935486
1968-07-01,-1580.0693548387103
1968-08-01,-318.2258064516127
1968-09-01,-12.738172043009968
1968-10-01,-156.13279569892507
1968-11-01,193.48279569892452
1968-12-01,-614.2569892473119
1969-01-01,-374.29032258064547
1969-02-01,842.1877880184331
1969-03-01,387.6186635944699
1969-04-01,484.5241935483874
1969-05-01,-80.04032258064535
1969-06-01,-522.6263440860217
1969-07-01,-636.7446236559135
1969-08-01,34.85483870967778
1969-09-01,688.8731182795697
1969-10-01,-851.1473118279572
1969-11-01,-45.586021505376266
1969-12-01,-566.8333333333334
1970-01-01,93.66129032258056
1970-02-01,-163.8398617511519
1970-03-01,1639.662442396313
1970-04-01,118.332795698925
1970-05-01,-456.6069892473121
1970-06-01,472.7236559139785
1970-07-01,545.921505376345
1970-08-01,-568.2903225806464
1970-09-01,-567.5978494623649
1970-10-01,-16.56344086021511
1970-11-01,326.73010752688117
1970-12-01,-1130.681720430107
1971-01-01,831.7580645161294
1971-02-01,-260.9953917050693
1971-03-01,146.86635944700458
1971-04-01,728.5193548387094
1971-05-01,-49.14838709677417
1971-06-01,-20.051612903225987
1971-07-01,-631.1258064516132
1971-08-01,-22.56451612903186
1971-09-01,222.5903225806453
1971-10-01,-297.63870967741946
1971-11-01,-191.46129032258045
1971-12-01,-45.05483870967771
1972-01-01,433.74193548387143
1972-02-01,-481.5767519466076
1972-03-01,461.0606229143491
1972-04-01,-9.537634408602457
1972-05-01,-90.07526881720378
1972-06-01,1105.808602150537
