date,mean
1957-07-15,1.4650537634408636
1957-08-15,-3.96577380952381
1957-09-15,8.954301075268816
1957-10-15,8.215277777777779
1957-11-15,-5.634408602150538
1957-12-15,-12.811111111111112
1958-01-15,-15.82258064516129
1958-02-15,-10.303763440860216
1958-03-15,39.113888888888894
1958-04-15,-3.368279569892474
1958-05-15,19.63611111111111
1958-06-15,-0.44489247311827995
1958-07-15,7.805107526881718
1958-08-15,-3.470238095238095
1958-09-15,7.206989247311828
1958-10-15,-3.0180555555555557
1958-11-15,-3.536290322580644
1958-12-15,16.259722222222223
1959-01-15,-8.12096774193548
1959-02-15,-18.1989247311828
1959-03-15,-14.244444444444444
1959-04-15,-7.567204301075268
1959-05-15,-34.00694444444445
1959-06-15,-11.178763440860216
1959-07-15,-7.10752688172043
1959-08-15,19.772475369458128
1959-09-15,13.56989247311828
1959-10-15,-35.702777777777776
1959-11-15,-14.315860215053766
1959-12-15,-11.70138888888889
1960-01-15,14.874999999999996
1960-02-15,10.116935483870968
1960-03-15,8.31111111111111
1960-04-15,-28.598118279569896
1960-05-15,-19.448611111111106
1960-06-15,-12.168010752688168
1960-07-15,0.47311827956989205
1960-08-15,-9.74122536945813
1960-09-15,-2.091397849462366
1960-10-15,46.53333333333333
1960-11-15,21.670698924731184
1960-12-15,11.718055555555557
1961-01-15,-7.591397849462364
1961-02-15,14.74462365591398
1961-03-15,22.081944444444446
1961-04-15,25.641129032258068
1961-05-15,37.02638888888889
1961-06-15,31.35752688172043
1961-07-15,14.03225806451613
1961-08-15,16.09375
1961-09-15,14.14516129032258
1961-10-15,4.1625
1961-11-15,9.088709677419354
1961-12-15,6.684722222222222
1962-01-15,29.426075268817204
1962-02-15,-0.27956989247311803
1962-03-15,-10.85138888888889
1962-04-15,10.357526881720428
1962-05-15,5.897222222222222
1962-06-15,-1.43010752688172
1962-07-15,-2.908602150537634
1962-08-15,3.2395833333333335
1962-09-15,1.2701612903225805
1962-10-15,9.605555555555556
1962-11-15,-0.9905913978494623
1962-12-15,-0.23472222222222222
1963-01-15,0.8346774193548387
1963-02-15,3.275537634408602
1963-03-15,-9.884722222222223
1963-04-15,-5.36021505376344
1963-05-15,-3.7944444444444443
1963-06-15,4.454301075268817
1963-07-15,-2.794354838709678
1963-08-15,-7.033199917898193
1963-09-15,-11.651881720430108
1963-10-15,-12.068055555555556
1963-11-15,-5.138440860215054
1963-12-15,-0.10277777777777777
1964-01-15,-0.0766129032258065
1964-02-15,6.4247311827957
1964-03-15,29.195833333333336
1964-04-15,17.092741935483872
1964-05-15,15.205555555555556
1964-06-15,14.006720430107528
1964-07-15,14.556451612903226
1964-08-15,8.156711822660098
1964-09-15,10.634408602150538
1964-10-15,6.7
1964-11-15,9.686827956989248
1964-12-15,0.4375
1965-01-15,-0.40456989247311825
1965-02-15,0.19892473118279552
1965-03-15,-1.8625
1965-04-15,11.47983870967742
1965-05-15,4.766666666666667
1965-06-15,-3.688172043010753
1965-07-15,-1.514784946236559
1965-08-15,1.1339285714285716
1965-09-15,-8.969086021505378
1965-10-15,1.7902777777777779
1965-11-15,-9.024193548387096
1965-12-15,-0.04722222222222219
1966-01-15,-4.633064516129032
1966-02-15,-4.556451612903226
1966-03-15,-23.0
1966-04-15,-16.045698924731184
1966-05-15,-12.647222222222222
1966-06-15,-16.336021505376344
1966-07-15,-22.762096774193548
1966-08-15,-19.379464285714285
1966-09-15,5.53225806451613
1966-10-15,-4.566666666666666
1966-11-15,-29.275537634408607
1966-12-15,-25.954166666666666
1967-01-15,-6.482526881720431
1967-02-15,-2.958333333333333
1967-03-15,4.543055555555554
1967-04-15,-3.37231182795699
1967-05-15,-3.75
1967-06-15,-4.165322580645162
1967-07-15,-1.793010752688172
1967-08-15,-7.5275554187192135
1967-09-15,-18.11424731182796
1967-10-15,-7.784722222222222
1967-11-15,20.020161290322584
1967-12-15,12.668055555555556
1968-01-15,4.266129032258065
1968-02-15,-1.186827956989247
1968-03-15,8.840277777777779
1968-04-15,-2.451612903225806
1968-05-15,-20.702777777777783
1968-06-15,4.358870967741938
1968-07-15,13.151881720430108
1968-08-15,5.219519704433498
1968-09-15,-8.364247311827956
1968-10-15,-5.908333333333335
1968-11-15,-3.716397849462364
1968-12-15,10.530555555555555
1969-01-15,9.02016129032258
1969-02-15,5.961021505376344
1969-03-15,3.476388888888888
1969-04-15,5.806451612903226
1969-05-15,28.36388888888889
1969-06-15,15.971774193548386
1969-07-15,4.254032258064516
1969-08-15,21.632440476190478
1969-09-15,0.581989247311828
1969-10-15,-6.011111111111109
1969-11-15,6.07795698924731
1969-12-15,-9.606944444444444
1970-01-15,-23.987903225806452
1970-02-15,-21.157258064516128
1970-03-15,-4.947222222222221
1970-04-15,-9.32258064516129
1970-05-15,-17.331944444444442
1970-06-15,-19.54032258064516
1970-07-15,-12.029569892473118
1970-08-15,-17.930059523809526
1970-09-15,13.524193548387096
1970-10-15,-0.7694444444444457
1970-11-15,-6.91263440860215
1970-12-15,3.447222222222221
1971-01-15,16.837365591397848
1971-02-15,11.991935483870968
1971-03-15,-3.531944444444443
1971-04-15,4.530913978494624
1971-05-15,6.619444444444444
1971-06-15,-6.931451612903228
1971-07-15,-4.858870967741934
1971-08-15,0.0076970443349750894
1971-09-15,-1.897849462365592
1971-10-15,11.548611111111112
1971-11-15,8.913978494623656
1971-12-15,-7.705555555555556
1972-01-15,-6.600806451612904
1972-02-15,-26.979838709677423
1972-03-15,-5.923611111111114
1972-04-15,-6.622311827956988
1972-05-15,-9.3875
1972-06-15,14.342741935483872
