D,X,Y,Z,date
-0.9883333333333334,NA,NA,NA,1902-07-01
-1.0,NA,NA,NA,1902-07-02
-0.9916666666666667,NA,NA,NA,1902-07-03
-0.9866666666666667,NA,NA,NA,1902-07-04
-0.9900000000000001,NA,NA,NA,1902-07-05
-0.9916666666666667,NA,NA,NA,1902-07-06
-0.9850000000000001,NA,NA,NA,1902-07-07
-0.9933333333333334,NA,NA,NA,1902-07-08
-0.9983333333333334,NA,NA,NA,1902-07-09
-0.9983333333333334,NA,NA,NA,1902-07-10
-0.9933333333333334,NA,NA,NA,1902-07-11
-0.9783333333333334,NA,NA,NA,1902-07-12
-0.9866666666666667,NA,NA,NA,1902-07-13
-0.9933333333333334,NA,NA,NA,1902-07-14
-0.9916666666666667,NA,NA,NA,1902-07-15
-0.9850000000000001,NA,NA,NA,1902-07-16
-0.9950000000000001,NA,NA,NA,1902-07-17
-0.9933333333333334,NA,NA,NA,1902-07-18
-0.9933333333333334,NA,NA,NA,1902-07-19
-0.9916666666666667,NA,NA,NA,1902-07-20
-0.9933333333333334,NA,NA,NA,1902-07-21
-0.9966666666666667,NA,NA,NA,1902-07-22
-0.9983333333333334,NA,NA,NA,1902-07-23
-0.9983333333333334,NA,NA,NA,1902-07-24
-1.0066666666666668,NA,NA,NA,1902-07-25
-0.9966666666666667,NA,NA,NA,1902-07-26
-0.9933333333333334,NA,NA,NA,1902-07-27
-0.9916666666666667,NA,NA,NA,1902-07-28
-0.9900000000000001,NA,NA,NA,1902-07-29
-0.9933333333333334,NA,NA,NA,1902-07-30
-0.9916666666666667,NA,NA,NA,1902-07-31
NA,NA,NA,16265.0,1902-12-01
NA,NA,NA,16264.0,1902-12-02
NA,NA,NA,16263.0,1902-12-03
NA,NA,NA,16263.0,1902-12-04
NA,NA,NA,16262.0,1902-12-05
NA,NA,NA,16268.0,1902-12-06
NA,NA,NA,16265.0,1902-12-07
NA,NA,NA,16266.0,1902-12-08
NA,NA,NA,16267.0,1902-12-09
NA,NA,NA,16266.0,1902-12-10
NA,NA,NA,16267.0,1902-12-11
NA,NA,NA,16266.0,1902-12-12
NA,NA,NA,16269.0,1902-12-13
NA,NA,NA,16268.0,1902-12-14
NA,NA,NA,16269.0,1902-12-15
NA,NA,NA,16269.0,1902-12-16
NA,NA,NA,16265.0,1902-12-17
NA,NA,NA,16266.0,1902-12-18
NA,NA,NA,16266.0,1902-12-19
NA,NA,NA,16265.0,1902-12-20
NA,NA,NA,16268.0,1902-12-21
NA,NA,NA,16268.0,1902-12-22
NA,NA,NA,16267.0,1902-12-23
NA,NA,NA,16269.0,1902-12-24
NA,NA,NA,16268.0,1902-12-25
NA,NA,NA,16269.0,1902-12-26
NA,NA,NA,16268.0,1902-12-27
NA,NA,NA,16268.0,1902-12-28
NA,NA,NA,16272.0,1902-12-29
NA,NA,NA,16270.0,1902-12-30
NA,NA,NA,16272.0,1902-12-31
NA,38610.03991806961,-678.4346137038261,15728.0,1996-01-01
NA,38604.15864692933,-671.5915147701598,15731.0,1996-01-02
NA,38606.099586893986,-674.9953235570497,15730.0,1996-01-03
NA,38603.100045332794,-674.9428790845885,15732.0,1996-01-04
NA,38610.118596159205,-673.94212698214,15731.0,1996-01-05
NA,38612.07901581123,-676.2233926376869,15730.0,1996-01-06
NA,38613.118139244674,-673.9944842014519,15729.0,1996-01-07
NA,38607.158193055744,-671.6436974830402,15728.0,1996-01-08
NA,38610.118596159205,-673.94212698214,15730.0,1996-01-09
NA,38611.118443854364,-673.9595793885774,15729.0,1996-01-10
NA,38615.15698272618,-671.7828513840544,15732.0,1996-01-11
NA,38609.09912845518,-675.0477680295108,15729.0,1996-01-12
NA,38550.20576837963,-668.409467010809,15735.0,1996-01-13
NA,38573.12423143842,-673.2963879439606,15734.0,1996-01-14
NA,38581.04439399606,-677.9251201312808,15734.0,1996-01-15
NA,38590.082388892486,-675.8381599835352,15731.0,1996-01-16
NA,NA,NA,NA,1996-01-17
NA,38588.94413044795,-683.6782117100038,15731.0,1996-01-18
NA,38599.94240445844,-683.8730675288614,15732.0,1996-01-19
NA,38586.96431430133,-682.5203343754977,15732.0,1996-01-20
NA,38603.94177682589,-683.9439241902642,15735.0,1996-01-21
NA,NA,NA,15737.0,1996-01-22
NA,38608.07962909873,-676.153350336932,15736.0,1996-01-23
NA,38609.059790429084,-677.2939532225824,15735.0,1996-01-24
NA,38610.05963659743,-677.3114928821246,15733.0,1996-01-25
NA,38611.098822829306,-675.0827310111516,15736.0,1996-01-26
NA,38598.10080939748,-674.8554716304866,15736.0,1996-01-27
NA,38606.099586893986,-674.9953235570497,15735.0,1996-01-28
NA,38591.16061371488,-671.3653896810116,15737.0,1996-01-29
NA,38594.179674258376,-670.2949134986019,15738.0,1996-01-30
NA,38598.12042381733,-673.7326981048927,15738.0,1996-01-31
NA,38605.17801561632,-670.4859301837959,15740.0,1996-02-01
NA,38601.21755668253,-668.170742897547,15743.0,1996-02-02
NA,NA,NA,NA,1996-02-03
NA,38610.196751523705,-669.4496311362537,15740.0,1996-02-04
NA,38607.274828973714,-664.9054670344601,15739.0,1996-02-05
NA,38615.312268106354,-662.7966782015862,15741.0,1996-02-06
NA,38613.33182528615,-661.6391390655475,15741.0,1996-02-07
NA,38610.38985300573,-658.2183520023043,15743.0,1996-02-08
NA,38605.42880270816,-655.8871541900315,15739.0,1996-02-09
NA,38592.52563309236,-650.0532740546763,15739.0,1996-02-10
NA,38588.545091411266,-648.8634125296156,15737.0,1996-02-11
NA,38594.5064228401,-651.2096262758365,15742.0,1996-02-12
NA,38595.44930332598,-654.5945878129276,15740.0,1996-02-13
NA,38596.411010455806,-656.8569950649091,15742.0,1996-02-14
NA,38593.3539807264,-660.1738546393498,15745.0,1996-02-15
NA,38609.31315172903,-662.6937088307981,15744.0,1996-02-16
NA,38597.25695904256,-665.8560187012063,15745.0,1996-02-17
NA,38613.25457869245,-666.1319997467007,15740.0,1996-02-18
NA,38602.23682737613,-667.0651566121073,15743.0,1996-02-19
NA,38603.19780349023,-669.3282786549519,15746.0,1996-02-20
NA,38609.19690180464,-669.4322950674963,15743.0,1996-02-21
NA,38605.158495638134,-671.6089090077866,15743.0,1996-02-22
NA,38601.15910080292,-671.5393320572795,15745.0,1996-02-23
NA,38591.23846939071,-666.8750997139842,15747.0,1996-02-24
NA,38583.22025266978,-667.8592171801342,15745.0,1996-02-25
NA,38590.23861866476,-666.8578218141549,15745.0,1996-02-26
NA,38595.2766082204,-664.6988302643462,15749.0,1996-02-27
NA,38594.296074966805,-663.5589482494039,15747.0,1996-02-28
NA,38602.25621518315,-665.9422627779234,15745.0,1996-02-29
NA,38600.2177064596,-668.1534359132463,15747.0,1996-03-01
NA,38608.25532255186,-666.0457556699837,15748.0,1996-03-02
NA,38607.25547132374,-666.0285068546403,15747.0,1996-03-03
NA,38594.23802156855,-666.9269334134724,15749.0,1996-03-04
NA,38607.23608100587,-667.1515461112541,15747.0,1996-03-05
NA,38609.13833580344,-672.8015805516471,15749.0,1996-03-06
NA,38606.13879119624,-672.749310585529,15749.0,1996-03-07
NA,38609.13833580344,-672.8015805516471,15751.0,1996-03-08
NA,38609.17741247376,-670.5553907965935,15745.0,1996-03-09
NA,38609.17741247376,-670.5553907965935,15748.0,1996-03-10
NA,38587.200207985145,-669.0509015548332,15751.0,1996-03-11
NA,38594.199156018614,-669.1722540361351,15752.0,1996-03-12
NA,38589.2968138172,-663.4729950177654,15753.0,1996-03-13
NA,38596.1598572589,-671.4523608691455,15752.0,1996-03-14
NA,38601.15910080292,-671.5393320572795,15750.0,1996-03-15
NA,38612.176960116834,-670.6074862561919,15745.0,1996-03-16
NA,38599.17892033017,-670.3817392645991,15747.0,1996-03-17
NA,38598.14000557701,-672.6099240092137,15752.0,1996-03-18
NA,38598.21800601374,-668.1188219446449,15750.0,1996-03-19
NA,38587.200207985145,-669.0509015548332,15752.0,1996-03-20
NA,NA,NA,NA,1996-03-21
NA,38581.14258613615,-672.3137275345438,15749.0,1996-03-22
NA,38589.121794560924,-673.5756264469571,15748.0,1996-03-23
NA,38593.10157346216,-674.7680641763845,15750.0,1996-03-24
NA,38574.16318566521,-671.0696876413563,15754.0,1996-03-25
NA,38590.082388892486,-675.8381599835352,15751.0,1996-03-26
NA,38604.060559587386,-677.2062549248714,15755.0,1996-03-27
NA,38600.08085567373,-676.0132657354224,15750.0,1996-03-28
NA,38608.099281268114,-675.0302865386905,15755.0,1996-03-29
NA,38616.07840252372,-676.2934349384418,15753.0,1996-03-30
NA,38616.07840252372,-676.2934349384418,15753.0,1996-03-31
