D,X,Y,Z,date
NA,38611.138032208255,-672.836427195726,15751.0,1996-04-01
NA,38613.118139244674,-673.9944842014519,15754.0,1996-04-02
NA,38622.175452260424,-670.7811377881864,15756.0,1996-04-03
NA,38597.21815579081,-668.1015149603442,15755.0,1996-04-04
NA,38610.157739182156,-671.6958801959205,15753.0,1996-04-05
NA,38613.15728530857,-671.7480629088009,15754.0,1996-04-06
NA,38619.1563775614,-671.8524283345616,15753.0,1996-04-07
NA,38628.135451649105,-673.1326236703959,15755.0,1996-04-08
NA,38605.23637955397,-667.1169903115954,15755.0,1996-04-09
NA,38602.23682737613,-667.0651566121073,15756.0,1996-04-10
NA,38609.23578245776,-667.1861019109128,15754.0,1996-04-11
NA,38587.29710935736,-663.4386137251099,15751.0,1996-04-12
NA,38597.21815579081,-668.1015149603442,15755.0,1996-04-13
NA,38588.27764611431,-664.5782921484463,15756.0,1996-04-14
NA,38584.297552667595,-663.3870417861268,15758.0,1996-04-15
NA,38592.27705303208,-664.6471710718176,15757.0,1996-04-16
NA,38587.335641349295,-661.193694656948,15755.0,1996-04-17
NA,38590.258000445734,-665.7352769938026,15759.0,1996-04-18
NA,38592.218904676156,-668.0149800388406,15760.0,1996-04-19
NA,38585.23936503503,-666.771432315008,15760.0,1996-04-20
NA,38592.23832011666,-666.8923776138137,15756.0,1996-04-21
NA,38597.19870517582,-669.2242622424073,NA,1996-04-22
NA,38602.23682737613,-667.0651566121073,15760.0,1996-04-23
NA,38605.158495638134,-671.6089090077866,15758.0,1996-04-24
NA,38605.17801561632,-670.4859301837959,15759.0,1996-04-25
NA,38614.21560958063,-668.3957336934562,15757.0,1996-04-26
NA,38610.23563318371,-667.2033798107423,15756.0,1996-04-27
NA,38613.25457869245,-666.1319997467007,15751.0,1996-04-28
NA,38620.1757538317,-670.7464074817875,15758.0,1996-04-29
NA,38624.175150689145,-670.8158680945853,15756.0,1996-04-30
NA,38613.29326733531,-663.8855705296303,15759.0,1996-05-01
NA,38615.23488681344,-667.289769309889,15757.0,1996-05-02
NA,38614.13757681546,-672.8886971618442,15755.0,1996-05-03
NA,38610.196751523705,-669.4496311362537,15759.0,1996-05-04
NA,38603.217257128395,-668.2053568661483,15760.0,1996-05-05
NA,38610.2550250081,-666.0802533006705,15761.0,1996-05-06
NA,38622.136362434685,-673.0280837381595,15764.0,1996-05-07
NA,38607.216658020116,-668.2745848033512,15760.0,1996-05-08
NA,38617.253983604925,-666.2009950080743,15761.0,1996-05-09
NA,38617.21516024942,-668.4476546463584,15760.0,1996-05-10
NA,38621.11692080593,-674.1341034529502,15762.0,1996-05-11
NA,38621.23399116913,-667.3934367088652,15761.0,1996-05-12
NA,38609.19690180464,-669.4322950674963,15760.0,1996-05-13
NA,38601.21755668253,-668.170742897547,15761.0,1996-05-14
NA,38605.21695757425,-668.2399708347498,15762.0,1996-05-15
NA,38604.178166401965,-670.4685650305963,15763.0,1996-05-16
NA,38599.27601513817,-664.7677091877174,15761.0,1996-05-17
NA,38607.23608100587,-667.1515461112541,15763.0,1996-05-18
NA,38617.253983604925,-666.2009950080743,15764.0,1996-05-19
NA,38606.31359354037,-662.6422241454039,15762.0,1996-05-20
NA,38605.158495638134,-671.6089090077866,15765.0,1996-05-21
NA,38610.313004458585,-662.710870392596,15766.0,1996-05-22
NA,38621.330651112876,-661.7761988835781,15766.0,1996-05-23
NA,38625.33006402624,-661.8447287925934,15762.0,1996-05-24
NA,38625.42591689982,-656.226895276349,15767.0,1996-05-25
NA,38612.38956244497,-658.252442449373,15765.0,1996-05-26
NA,38604.37156453447,-659.239036588958,15762.0,1996-05-27
NA,38611.40883868121,-657.1122371488938,15762.0,1996-05-28
NA,38633.38651155708,-658.6103921435943,15763.0,1996-05-29
NA,38606.5236474678,-650.2890568889362,15763.0,1996-05-30
NA,38619.46488908952,-653.8781846660485,15763.0,1996-05-31
NA,38613.33182528615,-661.6391390655475,15759.0,1996-06-01
NA,38614.293119565235,-663.902761175958,15756.0,1996-06-02
NA,NA,NA,15762.0,1996-06-03
NA,38627.1356034467,-673.1152003483564,15763.0,1996-06-04
NA,38623.136210637094,-673.0455070601988,15762.0,1996-06-05
NA,38622.11676850108,-674.1515558593875,15761.0,1996-06-06
NA,38619.19539899531,-669.6056557550704,15764.0,1996-06-07
NA,38625.19449730972,-669.7096721676149,15764.0,1996-06-08
NA,38625.15546981422,-671.9567937603223,15765.0,1996-06-09
NA,38620.1562262702,-671.8698225721884,15769.0,1996-06-10
NA,38628.17454754658,-670.8853287073831,15766.0,1996-06-11
NA,38623.15577239661,-671.9220052850687,15768.0,1996-06-12
NA,38625.23339407292,-667.4625483081827,15766.0,1996-06-13
NA,38625.21396203287,-668.586110520764,15768.0,1996-06-14
NA,38630.25204957046,-666.4252296075384,15767.0,1996-06-15
NA,38614.19615039997,-669.5189754112833,15772.0,1996-06-16
NA,38611.27423589149,-664.9743459578315,15769.0,1996-06-17
NA,38619.21486069528,-668.4822686149598,15769.0,1996-06-18
NA,38614.176658545555,-670.6422165625909,15765.0,1996-06-19
NA,38619.21486069528,-668.4822686149598,15768.0,1996-06-20
NA,38621.09729469994,-675.2575459193556,15764.0,1996-06-21
NA,38619.17590461735,-670.7290423285881,15764.0,1996-06-22
NA,38628.135451649105,-673.1326236703959,15763.0,1996-06-23
NA,38617.17620618863,-670.6943120221891,15767.0,1996-06-24
NA,NA,NA,NA,1996-06-25
NA,38626.213812255795,-668.6034175050647,15764.0,1996-06-26
NA,38616.19584983811,-669.5536475487982,15766.0,1996-06-27
NA,38622.175452260424,-670.7811377881864,15767.0,1996-06-28
NA,38615.17650775991,-670.6595817157903,15768.0,1996-06-29
NA,38611.23548390966,-667.2206577105716,15764.0,1996-06-30
NA,38621.11692080593,-674.1341034529502,15767.0,1996-07-01
NA,38620.1562262702,-671.8698225721884,15770.0,1996-07-02
NA,38607.158193055744,-671.6436974830402,15768.0,1996-07-03
NA,38603.11966229311,-673.8199601370791,15770.0,1996-07-04
NA,38604.178166401965,-670.4685650305963,15768.0,1996-07-05
NA,38606.13879119624,-672.749310585529,15771.0,1996-07-06
NA,38613.15728530857,-671.7480629088009,15767.0,1996-07-07
NA,38608.13848760104,-672.7841572296078,15770.0,1996-07-08
NA,38611.17711090248,-670.5901211029925,15771.0,1996-07-09
NA,38615.098211577555,-675.1526569744333,15770.0,1996-07-10
NA,38624.05748295418,-677.5570481157156,15770.0,1996-07-11
NA,38606.15834434694,-671.6263032454134,15774.0,1996-07-12
NA,38615.15698272618,-671.7828513840544,15773.0,1996-07-13
NA,38625.096683448195,-675.3274718826372,15769.0,1996-07-14
NA,38617.1175300253,-674.064293827201,15772.0,1996-07-15
NA,38622.11676850108,-674.1515558593875,15772.0,1996-07-16
NA,38617.1175300253,-674.064293827201,15770.0,1996-07-17
NA,38621.09729469994,-675.2575459193556,15774.0,1996-07-18
NA,38623.11661619624,-674.1690082658248,15774.0,1996-07-19
NA,38615.13742501786,-672.9061204838836,15776.0,1996-07-20
NA,38621.156074979,-671.8872168098152,15774.0,1996-07-21
NA,38620.1562262702,-671.8698225721884,15775.0,1996-07-22
NA,38617.09790595168,-675.1876199560741,15773.0,1996-07-23
NA,38618.11737772045,-674.0817462336383,15773.0,1996-07-24
NA,38624.15562110542,-671.9393995226956,15773.0,1996-07-25
NA,38618.03868333127,-678.5751636548731,15773.0,1996-07-26
NA,38619.03852898898,-678.5927323987539,15775.0,1996-07-27
NA,38622.0577906175,-677.5219687966312,15774.0,1996-07-28
NA,38612.019857164,-679.5929296078729,15777.0,1996-07-29
NA,38618.03868333127,-678.5751636548731,15772.0,1996-07-30
NA,38605.11935768343,-673.8548649499537,15772.0,1996-07-31
NA,38605.08008906435,-676.1008186113659,15777.0,1996-08-01
NA,38599.100656584546,-674.872953121307,15773.0,1996-08-02
NA,38608.07962909873,-676.153350336932,15778.0,1996-08-03
NA,38609.157890473354,-671.6784859582938,15777.0,1996-08-04
NA,38605.11935768343,-673.8548649499537,15778.0,1996-08-05
NA,38614.176658545555,-670.6422165625909,15780.0,1996-08-06
NA,38616.09805876462,-675.1701384652537,15776.0,1996-08-07
NA,38616.09805876462,-675.1701384652537,15778.0,1996-08-08
NA,38621.11692080593,-674.1341034529502,15777.0,1996-08-09
NA,38616.11768233014,-674.0468414207638,15775.0,1996-08-10
NA,38627.096377822316,-675.3624348642779,15777.0,1996-08-11
NA,38625.037602935234,-678.6981448620392,15779.0,1996-08-12
NA,38622.0577906175,-677.5219687966312,15776.0,1996-08-13
NA,38613.07886248935,-676.2409032128757,15777.0,1996-08-14
NA,38617.09790595168,-675.1876199560741,15774.0,1996-08-15
NA,38617.07824920185,-676.3109455136305,15776.0,1996-08-16
NA,38609.11874846405,-673.9246745757029,15774.0,1996-08-17
NA,38611.118443854364,-673.9595793885774,15780.0,1996-08-18
NA,38611.17711090248,-670.5901211029925,15775.0,1996-08-19
NA,38615.17650775991,-670.6595817157903,15778.0,1996-08-20
NA,38616.05871360746,-677.4167308393779,15773.0,1996-08-21
NA,38612.19645096184,-669.4843032737685,15778.0,1996-08-22
NA,38606.21680779719,-668.2572778190505,15776.0,1996-08-23
NA,38612.13788041066,-672.8538505177654,15779.0,1996-08-24
NA,38597.237573746395,-666.9787671129604,15778.0,1996-08-25
NA,38602.21740690546,-668.1880498818477,15779.0,1996-08-26
NA,38609.19690180464,-669.4322950674963,15775.0,1996-08-27
NA,38601.21755668253,-668.170742897547,15778.0,1996-08-28
NA,38583.316980760625,-662.2475082240494,15777.0,1996-08-29
NA,38603.217257128395,-668.2053568661483,15779.0,1996-08-30
NA,38597.21815579081,-668.1015149603442,15780.0,1996-08-31
NA,38607.216658020116,-668.2745848033512,15775.0,1996-09-01
NA,38607.216658020116,-668.2745848033512,15778.0,1996-09-02
NA,38613.15728530857,-671.7480629088009,15780.0,1996-09-03
NA,38617.137121422675,-672.9409671279624,15779.0,1996-09-04
NA,38603.15879822053,-671.574120532533,15776.0,1996-09-05
NA,38613.13772861306,-672.8712738398048,15779.0,1996-09-06
NA,38605.11935768343,-673.8548649499537,15773.0,1996-09-07
NA,38610.07932245498,-676.1883714873095,15776.0,1996-09-08
NA,38619.998829342316,-680.8571227492226,15775.0,1996-09-09
NA,38596.002558128515,-680.4340768488969,15774.0,1996-09-10
NA,38592.02295423937,-679.2409730437795,15775.0,1996-09-11
NA,38582.98477520474,-681.3272608069416,15775.0,1996-09-12
NA,38591.02310909314,-679.2233752155748,15774.0,1996-09-13
NA,38600.08085567373,-676.0132657354224,15774.0,1996-09-14
NA,38602.04115280794,-678.2940637527792,15776.0,1996-09-15
NA,38594.08177560499,-675.90820228429,15771.0,1996-09-16
NA,38604.98134586101,-681.715692736708,15774.0,1996-09-17
NA,38587.02372850821,-679.1529839027562,15773.0,1996-09-18
NA,38597.002402762424,-680.4517037614105,15775.0,1996-09-19
NA,38586.08300217999,-675.7681176827804,15775.0,1996-09-20
NA,38597.022179970525,-679.3289621848029,15773.0,1996-09-21
NA,38588.04331360002,-678.0481013384468,15770.0,1996-09-22
NA,38577.08438207687,-675.610522506082,15770.0,1996-09-23
NA,38592.96337594167,-682.6264448620173,15773.0,1996-09-24
NA,38596.022334824294,-679.3113643565982,15770.0,1996-09-25
NA,38586.00411178943,-680.2578077237612,15772.0,1996-09-26
NA,38587.00395642334,-680.2754346362748,15770.0,1996-09-27
NA,38592.02295423937,-679.2409730437795,15768.0,1996-09-28
NA,38611.980254706184,-681.8392847143608,15767.0,1996-09-29
NA,38615.97963118914,-681.9099087015911,15767.0,1996-09-30
NA,38618.99898470841,-680.839495836709,15771.0,1996-10-01
NA,38619.998829342316,-680.8571227492226,15767.0,1996-10-02
NA,38601.98181349879,-681.6627247462852,15768.0,1996-10-03
NA,38606.94130610148,-683.9970666863163,15767.0,1996-10-04
NA,38612.940364652655,-684.1033516784205,15767.0,1996-10-05
NA,38618.93942320383,-684.2096366705246,15765.0,1996-10-06
NA,38621.938952479424,-684.2627791665767,15765.0,1996-10-07
NA,38615.97963118914,-681.9099087015911,15766.0,1996-10-08
NA,38598.06148257735,-677.1010169676181,15766.0,1996-10-09
NA,38608.00069373541,-680.6455997990598,15764.0,1996-10-10
NA,38614.05902127078,-677.3816515202935,15767.0,1996-10-11
NA,38613.01970231023,-679.6105274360775,15766.0,1996-10-12
NA,38607.040381096485,-678.3819074721835,15764.0,1996-10-13
NA,38608.040226754194,-678.3994762160644,15765.0,1996-10-14
NA,38615.01939260269,-679.6457230924868,15765.0,1996-10-15
NA,38617.038837673565,-678.5575949109922,15766.0,1996-10-16
NA,38626.017689211236,-679.8392992027382,15767.0,1996-10-17
NA,38602.00162593197,-680.5398383239784,15767.0,1996-10-18
NA,38590.02326394691,-679.2057773873702,15769.0,1996-10-19
NA,38592.98321641214,-681.5038207750172,15770.0,1996-10-20
NA,38608.980722343964,-681.7863167239382,15767.0,1996-10-21
NA,38600.00193666415,-680.5045844989512,15769.0,1996-10-22
NA,38582.0047332538,-680.187300073707,15770.0,1996-10-23
NA,38595.962906761844,-682.6795001052772,15771.0,1996-10-24
NA,38601.96196840219,-682.7856105917967,15771.0,1996-10-25
NA,38609.96071725598,-682.9270912404896,15773.0,1996-10-26
NA,38623.918716894164,-685.4217320398284,15768.0,1996-10-27
NA,38621.938952479424,-684.2627791665767,15768.0,1996-10-28
NA,38609.840935930326,-689.6657901905211,15767.0,1996-10-29
NA,38610.940678468934,-684.0679233477191,15767.0,1996-10-30
NA,38606.881469092776,-687.3661552771506,15770.0,1996-10-31
NA,38619.89939420478,-686.4741666670672,15770.0,1996-11-01
NA,38623.89876244319,-686.5452560024027,15772.0,1996-11-02
NA,38628.937854122465,-684.3867783240315,15771.0,1996-11-03
NA,38612.019857164,-679.5929296078729,15767.0,1996-11-04
NA,38613.96009168288,-682.9978315648361,15771.0,1996-11-05
NA,38616.979475309876,-681.9275646983987,15770.0,1996-11-06
NA,38622.97854003432,-682.0335006792441,15772.0,1996-11-07
NA,38622.97854003432,-682.0335006792441,15768.0,1996-11-08
NA,38622.97854003432,-682.0335006792441,15771.0,1996-11-09
NA,38612.96024807615,-682.9801464837494,15773.0,1996-11-10
NA,38625.918402046475,-685.457218539028,15772.0,1996-11-11
NA,38619.95915332322,-683.1039420513557,15770.0,1996-11-12
NA,38620.998673976224,-680.8747496617362,15771.0,1996-11-13
NA,38601.98181349879,-681.6627247462852,15772.0,1996-11-14
NA,38605.921550523366,-685.1023535470322,15773.0,1996-11-15
NA,38609.98056646471,-681.8039727207457,15772.0,1996-11-16
NA,38617.97931943062,-681.9452206952062,15772.0,1996-11-17
NA,38603.04099846565,-678.31163249666,15771.0,1996-11-18
NA,38607.02063143284,-679.5049404668496,15775.0,1996-11-19
NA,38617.95946610977,-683.0685718891825,15773.0,1996-11-20
NA,38606.94130610148,-683.9970666863163,15774.0,1996-11-21
NA,38619.939266295696,-684.2273508358753,15776.0,1996-11-22
NA,38622.93879557129,-684.2804933319273,15775.0,1996-11-23
NA,38625.898446562394,-686.5808006700703,15775.0,1996-11-24
NA,38616.87988451481,-687.5441694576797,15776.0,1996-11-25
NA,38620.85923242344,-688.7388106770494,15776.0,1996-11-26
NA,38621.859073447406,-688.7566411793063,15778.0,1996-11-27
NA,38611.900657727965,-686.3319879963962,15775.0,1996-11-28
NA,38618.89955214518,-686.4563943332332,15776.0,1996-11-29
NA,38629.89781480081,-686.6518900054058,15774.0,1996-11-30
NA,38630.91761492725,-685.5459347870269,15772.0,1996-12-01
NA,38631.83742703739,-690.0587010923283,15773.0,1996-12-02
NA,38617.85970935157,-688.6853191702787,15776.0,1996-12-03
NA,38621.87909222583,-687.6331765479442,15775.0,1996-12-04
NA,38621.87909222583,-687.6331765479442,15776.0,1996-12-05
NA,38625.87845839464,-687.7043822201559,15774.0,1996-12-06
NA,38631.897498920014,-686.6874346730735,15776.0,1996-12-07
NA,38622.79866049482,-692.1449493275805,15777.0,1996-12-08
NA,38640.815897563465,-691.3434534344577,15775.0,1996-12-09
NA,38604.90176331074,-686.2075816595591,15777.0,1996-12-10
NA,38610.860822183866,-688.5605056544805,15778.0,1996-12-11
NA,38611.840616940055,-689.7015093634126,15776.0,1996-12-12
NA,38613.8803598882,-687.4907652035209,15776.0,1996-12-13
NA,38615.83997895953,-689.7729477091957,15776.0,1996-12-14
NA,38617.83965996926,-689.8086668820873,15776.0,1996-12-15
NA,38613.8001053175,-691.9836895345766,15779.0,1996-12-16
NA,NA,NA,NA,1996-12-17
NA,NA,NA,NA,1996-12-18
NA,38618.85955037553,-688.7031496725356,15778.0,1996-12-19
NA,38630.877666105654,-687.7933893104205,15780.0,1996-12-20
NA,38630.89765686041,-686.6696623392397,15779.0,1996-12-21
NA,38609.920920827986,-685.1733265454313,15781.0,1996-12-22
NA,38609.94083537707,-684.0502091823683,15786.0,1996-12-23
NA,38632.95712021063,-683.3338481054816,15782.0,1996-12-24
NA,38613.01970231023,-679.6105274360775,15780.0,1996-12-25
NA,38625.017844065005,-679.8217013745335,15783.0,1996-12-26
NA,38625.97807239653,-682.0864686696667,15783.0,1996-12-27
NA,38628.997431047486,-681.0157649618448,15780.0,1996-12-28
NA,38626.958058570286,-683.227737618962,15781.0,1996-12-29
NA,38624.95837135684,-683.1923674567888,15783.0,1996-12-30
NA,38620.93910938756,-684.245065001226,15784.0,1996-12-31
NA,38625.93832484687,-684.3336358279795,15786.0,1997-01-01
NA,38622.97854003432,-682.0335006792441,15784.0,1997-01-02
NA,38624.93848175501,-684.3159216626287,15780.0,1997-01-03
NA,38624.95837135684,-683.1923674567888,15782.0,1997-01-04
NA,38630.89765686041,-686.6696623392397,15782.0,1997-01-05
NA,38632.897340979616,-686.7052070069075,15783.0,1997-01-06
NA,38619.89939420478,-686.4741666670672,15783.0,1997-01-07
NA,38624.91855947032,-685.4394752894282,15785.0,1997-01-08
NA,38624.95837135684,-683.1923674567888,15784.0,1997-01-09
NA,38578.064559210565,-676.7502237767739,15785.0,1997-01-10
NA,38616.979475309876,-681.9275646983987,15785.0,1997-01-11
NA,38610.02016687154,-679.5577339514635,15784.0,1997-01-12
NA,38610.03991806961,-678.4346137038261,15788.0,1997-01-13
NA,38617.038837673565,-678.5575949109922,15787.0,1997-01-14
NA,38624.07717594872,-676.4335195399515,15788.0,1997-01-15
NA,38624.017998918775,-679.8041035463289,15788.0,1997-01-16
NA,38628.0173795037,-679.8744948591476,15789.0,1997-01-17
NA,38624.017998918775,-679.8041035463289,15788.0,1997-01-18
NA,38613.15728530857,-671.7480629088009,15790.0,1997-01-19
NA,38616.09805876462,-675.1701384652537,15788.0,1997-01-20
NA,38607.177714045036,-670.5206604901947,15791.0,1997-01-21
NA,38616.137273220265,-672.923543805923,15791.0,1997-01-22
NA,38625.1749999035,-670.8332332477847,15790.0,1997-01-23
NA,38632.15441077585,-672.0785534237098,15786.0,1997-01-24
NA,38628.21351270166,-668.6380314736662,15788.0,1997-01-25
NA,38623.136210637094,-673.0455070601988,15787.0,1997-01-26
NA,38611.216058911836,-668.3438127405541,15788.0,1997-01-27
NA,38603.236678102076,-667.0824345119366,15789.0,1997-01-28
NA,38611.19660124277,-669.4669672050111,15790.0,1997-01-29
