H,X,Y,Z,date
NA,40045.62146684067,-2068.333226177573,649.0,1966-05-05
NA,40046.559951853946,-2069.549714930255,649.0,1966-05-06
NA,40045.68161527287,-2067.168345393328,646.0,1966-05-07
NA,40052.49172912282,-2071.0244538749284,651.0,1966-05-08
NA,40050.43413986559,-2072.086197118525,647.0,1966-05-09
NA,40059.361813782685,-2073.7164879629345,648.0,1966-05-10
NA,40071.4060907168,-2073.171221309117,648.0,1966-05-11
NA,40058.604161647745,-2069.003774868072,652.0,1966-05-12
NA,40049.495731636474,-2070.869537569098,653.0,1966-05-13
NA,40057.72579178563,-2066.6217336785103,652.0,1966-05-14
NA,40063.47705323942,-2071.5924803296393,655.0,1966-05-15
NA,40065.65502189911,-2068.199377760915,657.0,1966-05-16
NA,40053.73110446377,-2066.41564340565,657.0,1966-05-17
NA,40057.78589042742,-2065.4565007944498,661.0,1966-05-18
NA,40055.7284481247,-2066.51868854208,657.0,1966-05-19
NA,40055.78854376987,-2065.353513758435,661.0,1966-05-20
NA,40060.66167024255,-2067.941619669018,667.0,1966-05-21
NA,40064.6563515678,-2068.1478261425355,663.0,1966-05-22
NA,40055.84860552146,-2064.188337227171,667.0,1966-05-23
NA,40063.59750580431,-2069.2616782105715,666.0,1966-05-24
NA,40065.65502189911,-2068.199377760915,665.0,1966-05-25
NA,40007.03341423091,-2059.3390669367172,677.0,1966-05-26
NA,39991.99334871671,-2059.731292231761,665.0,1966-05-27
NA,40019.896311776945,-2062.3356163879535,664.0,1966-05-28
NA,40024.070849380405,-2059.0487230218214,667.0,1966-05-29
NA,40026.06820800752,-2059.151477655303,NA,1966-05-30
NA,40002.279339426255,-2054.4275724667564,NA,1966-05-31
NA,40006.094621736396,-2058.123931320487,672.0,1966-06-01
NA,40025.009614966206,-2060.2643815449264,669.0,1966-06-02
NA,40030.82171055054,-2064.06617580825,665.0,1966-06-03
NA,40036.99374878974,-2060.8812579503992,668.0,1966-06-04
NA,40049.73641714191,-2066.209553132789,665.0,1966-06-05
NA,40055.908633379404,-2063.0231589492746,667.0,1966-06-06
NA,40051.91392808799,-2062.8174172794297,669.0,1966-06-07
NA,40043.80446382459,-2064.7355915423464,667.0,1966-06-08
NA,40043.74438615912,-2065.900417723498,669.0,1966-06-09
NA,40054.609486322486,-2068.7974521940723,664.0,1966-06-10
NA,40060.54129448053,-2070.2722509903306,670.0,1966-06-11
NA,40047.85920691157,-2063.7766214851226,670.0,1966-06-12
NA,40045.80181048214,-2064.838578578361,671.0,1966-06-13
