D H X Y Z date
  12429.764781422331 -14387.324854833614 -43272.0 1965-01-01
  12434.655810666585 -14387.063316405325 -43268.0 1965-01-02
  12421.474467165423 -14387.878094477917 -43287.0 1965-01-03
  12437.873184240652 -14388.247692222541 -43272.0 1965-01-04
  12406.152854029247 -14387.889885680317 -43273.0 1965-01-05
  12400.156767787772 -14397.017508299665 -43264.0 1965-01-06
  12408.173476513082 -14404.630331138569 -43271.0 1965-01-07
  12399.085386836849 -14396.620491279504 -43274.0 1965-01-08
  12387.85672691958 -14387.814348027756 -43277.0 1965-01-09
  12408.592484974726 -14404.269385908774 -43289.0 1965-01-10
  12400.906191500766 -14402.970583514987 -43288.0 1965-01-11
  12413.939289447082 -14394.379990743684 -43282.0 1965-01-12
  12370.005378598944 -14366.23579555317 -43309.0 1965-01-13
  12399.455082555747 -14393.66241287055 -43316.0 1965-01-14
  12397.039619609372 -14401.021237045501 -43309.0 1965-01-15
  12397.458523091434 -14400.660615688 -43316.0 1965-01-16
  12421.26958756521 -14410.506126886301 -43320.0 1965-01-17
  12388.09910466073 -14400.799164390288 -43291.0 1965-01-18
  12399.270299759792 -14395.141438467868 -43316.0 1965-01-19
  12382.686663518885 -14384.348125414357 -43303.0 1965-01-20
  12383.289414316165 -14382.509665607226 -43338.0 1965-01-21
  12383.79096412321 -14375.479030519307 -43279.0 1965-01-22
  12401.782537039264 -14392.977138312557 -43290.0 1965-01-23
  12403.37111216388 -14398.20825845836 -43303.0 1965-01-24
  12409.93631501987 -14396.5110237568 -43292.0 1965-01-25
  12405.231080817255 -14395.28571552248 -43295.0 1965-01-26
  12407.090407158874 -14392.362961952642 -43288.0 1965-01-27
  12409.417974793021 -14391.676571090802 -43293.0 1965-01-28
  12395.204603696402 -14382.804727608018 -43290.0 1965-01-29
  12403.020282191246 -14380.027394951394 -43282.0 1965-01-30
  12407.743343187038 -14393.120375012422 -43281.0 1965-01-31
  12385.35243006148 -14401.842596805805 -43271.0 1965-02-01
  12404.159551892553 -14394.889016980742 -43276.0 1965-02-02
  12394.701907102371 -14389.83768616147 -43271.0 1965-02-03
  12399.958559953362 -14386.628399713372 -43281.0 1965-02-04
  12403.959190801843 -14384.499726890834 -43289.0 1965-02-05
  12409.049215243364 -14394.635201131983 -43296.0 1965-02-06
  12355.091539386594 -14332.88673133845 -43264.0 1965-02-07
  12398.51873827695 -14389.189313390636 -43268.0 1965-02-08
  12414.280732777028 -14412.568053188894 -43281.0 1965-02-09
  12405.69909555404 -14397.52252821886 -43278.0 1965-02-10
  12399.071260838418 -14384.752791363875 -43276.0 1965-02-11
  12390.749240194282 -14394.560857025992 -43279.0 1965-02-12
  12417.154857769014 -14395.568284655643 -43285.0 1965-02-13
  12400.275636654458 -14381.073851941443 -43259.0 1965-02-14
     1965-02-15
     1965-02-16
     1965-02-17
     1965-02-18
     1965-02-19
     1965-02-20
     1965-02-21
     1965-02-22
     1965-02-23
     1965-02-24
     1965-02-25
     1965-02-26
     1965-02-27
     1965-02-28
     1965-03-01
     1965-03-02
     1965-03-03
     1965-03-04
     1965-03-05
     1965-03-06
     1965-03-07
     1965-03-08
     1965-03-09
     1965-03-10
     1965-03-11
     1965-03-12
     1965-03-13
     1965-03-14
     1965-03-15
     1965-03-16
     1965-03-17
     1965-03-18
     1965-03-19
     1965-03-20
     1965-03-21
     1965-03-22
     1965-03-23
     1965-03-24
     1965-03-25
     1965-03-26
     1965-03-27
     1965-03-28
     1965-03-29
     1965-03-30
     1965-03-31
     1965-04-01
     1965-04-02
     1965-04-03
     1965-04-04
     1965-04-05
  12416.251956307939 -14351.418618292735 -43256.0 1965-04-06
  12394.77671012662 -14331.650787892604 -43262.0 1965-04-07
  12415.417003605411 -14352.140942263133 -43255.0 1965-04-08
  12370.80535075974 -14323.290507897067 -43241.0 1965-04-09
  12408.62555004423 -14352.725906906657 -43292.0 1965-04-10
  12425.175329447986 -14360.888483393956 -43270.0 1965-04-11
  12406.90005504262 -14351.573851817904 -43262.0 1965-04-12
  12405.423335322448 -14342.27460591371 -43277.0 1965-04-13
  12423.991849841967 -14355.300467599427 -43295.0 1965-04-14
  12414.052213039318 -14348.032501076013 -43280.0 1965-04-15
  12417.435340599204 -14357.006079334156 -43242.0 1965-04-16
  12423.449024944677 -14359.737404444457 -43252.0 1965-04-17
  12300.30158761818 -14262.613254717306 -43336.0 1965-04-18
  12393.820196252844 -14336.443838796116 -43263.0 1965-04-19
  12405.309053653713 -14337.084371772988 -43266.0 1965-04-20
  12412.382659620092 -14349.476844511177 -43265.0 1965-04-21
  12409.822090342628 -14349.047239661737 -43260.0 1965-04-22
  12419.161345660568 -14358.157523528233 -43278.0 1965-04-23
  12417.435340599204 -14357.006079334156 -43271.0 1965-04-24
  12427.26390458251 -14359.081163008328 -43264.0 1965-04-25
  12420.95671001135 -14352.637228329293 -43259.0 1965-04-26
  12422.919876869262 -14354.905702681805 -43252.0 1965-04-27
  12425.368382840577 -14350.140924419724 -43262.0 1965-04-28
  12428.934575414201 -14357.635087996681 -43261.0 1965-04-29
  12419.04983587465 -14352.96489141048 -43261.0 1965-04-30
  12416.83651114577 -14358.846055845761 -43269.0 1965-05-01
  12418.869072175843 -14354.443631438815 -43267.0 1965-05-02
  12415.834485209562 -14351.77978634988  1965-05-03
     1965-05-04
     1965-05-05
  12381.443897167013 -14333.922283217033  1965-05-06
     1965-05-07
  12406.08530094463 -14333.767700980981 -43244.0 1965-05-08
     1965-05-09
     1965-05-10
  12410.824012679554 -14356.112855724441 -43258.0 1965-05-11
