D H X Y Z date
     1961-01-01
     1961-01-02
     1961-01-03
     1961-01-04
     1961-01-05
     1961-01-06
     1961-01-07
     1961-01-08
     1961-01-09
     1961-01-10
     1961-01-11
     1961-01-12
     1961-01-13
     1961-01-14
     1961-01-15
     1961-01-16
     1961-01-17
     1961-01-18
     1961-01-19
     1961-01-20
     1961-01-21
     1961-01-22
     1961-01-23
     1961-01-24
     1961-01-25
     1961-01-26
     1961-01-27
     1961-01-28
     1961-01-29
     1961-01-30
     1961-01-31
     1961-02-01
     1961-02-02
     1961-02-03
     1961-02-04
     1961-02-05
     1961-02-06
     1961-02-07
     1961-02-08
     1961-02-09
     1961-02-10
     1961-02-11
     1961-02-12
     1961-02-13
     1961-02-14
     1961-02-15
     1961-02-16
     1961-02-17
     1961-02-18
     1961-02-19
     1961-02-20
     1961-02-21
  16774.748027230282 -8642.03266731466 -39888.0 1961-02-22
  16789.376349107628 -8626.715354526625 -39886.0 1961-02-23
  16774.322510304297 -8631.93659153602 -39889.0 1961-02-24
  16780.39587205932 -8661.626312475884 -39925.0 1961-02-25
  16783.853627577544 -8674.543584999281 -39929.0 1961-02-26
  16793.120640517176 -8680.571130578675 -39918.0 1961-02-27
  16789.91840449171 -8667.160144505846 -39909.0 1961-02-28
  16795.419657018512 -8619.324947154284 -39907.0 1961-03-01
  16793.162547479926 -8623.721682308487 -39896.0 1961-03-02
  16795.914161466462 -8642.429547335076 -39922.0 1961-03-03
  16799.25351547497 -8653.420729561336 -39930.0 1961-03-04
  16812.92602231557 -8648.709011646997 -39913.0 1961-03-05
  16718.624716482445 -8576.228051388458 -39907.0 1961-03-06
  16797.441110106465 -8643.833244140309 -39927.0 1961-03-07
  16797.0547559793 -8642.398482171087 -39921.0 1961-03-08
  16797.84475552695 -8649.603896665778 -39919.0 1961-03-09
  16750.015671666348 -8611.418640324704 -39872.0 1961-03-10
  16774.279028329438 -8651.67261746231 -39931.0 1961-03-11
  16779.25531791569 -8661.655729489488 -39933.0 1961-03-12
  16789.29395443711 -8670.54926238825 -39937.0 1961-03-13
  16769.0804105675 -8650.844073494864 -39904.0 1961-03-14
  16781.907355448897 -8658.697448989087 -39927.0 1961-03-15
  16741.605463723292 -8625.574502433474 -39908.0 1961-03-16
  16775.50212297637 -8640.568761488756 -39905.0 1961-03-17
  16771.22722474201 -8648.863357463357 -39917.0 1961-03-18
  16770.59001227373 -8647.91718509287 -39899.0 1961-03-19
  16797.44976677718 -8619.749493610436 -39903.0 1961-03-20
  16803.335243399593 -8630.181035060918 -39876.0 1961-03-21
  16805.616423720243 -8630.117068660447 -39878.0 1961-03-22
  16809.31085354538 -8633.868057185116 -39885.0 1961-03-23
  16811.51581828368 -8644.891664537941 -39887.0 1961-03-24
  16803.49232384759 -8636.439933351885 -39878.0 1961-03-25
  16790.92576622388 -8632.451095323904 -39875.0 1961-03-26
  16808.399701144423 -8629.075007587317 -39895.0 1961-03-27
  16764.656006388344 -8624.49523087973 -39893.0 1961-03-28
  16784.055285048293 -8656.714918977203 -39899.0 1961-03-29
  16781.82264884854 -8637.031005073106 -39848.0 1961-03-30
  16807.823413975908 -8641.13841369314 -39873.0 1961-03-31
  16821.953839366968 -8571.829969511 -39849.0 1961-04-01
  16830.827587581163 -8572.035156082648 -39865.0 1961-04-02
  16765.759309722376 -8549.954079903437 -39879.0 1961-04-03
  16837.291522674273 -8605.573495153072 -39882.0 1961-04-04
  16827.496705034555 -8600.56734419603 -39878.0 1961-04-05
  16804.267136777635 -8595.477357064889 -39881.0 1961-04-06
  16804.046795977138 -8600.298848215134 -39883.0 1961-04-07
  16804.245931426118 -8634.973519134195 -39889.0 1961-04-08
  16815.248990666543 -8589.372816561627 -39883.0 1961-04-09
  16801.714656011056 -8576.2976054929 -39877.0 1961-04-10
  16792.665141292528 -8569.831179925237 -39868.0 1961-04-11
  16808.1246398602 -8585.733637315123 -39884.0 1961-04-12
  16818.790517518013 -8606.60993236281 -39888.0 1961-04-13
  16828.470896653216 -8614.034611057454 -39849.0 1961-04-14
  16703.931009317464 -8532.510640834998 -39926.0 1961-04-15
  16804.72686113165 -8629.660255349592 -39893.0 1961-04-16
  16815.76773581014 -8632.239538803753 -39904.0 1961-04-17
  16816.035739086063 -8611.991118305934 -39877.0 1961-04-18
  16802.42397408042 -8653.816995710482 -39871.0 1961-04-19
  16796.066641336674 -8648.688304001793 -39858.0 1961-04-20
  16803.4752648284 -8664.874784109694 -39875.0 1961-04-21
  16808.513440668597 -8655.097452649687 -39882.0 1961-04-22
  16798.476798945932 -8622.128579143042 -39861.0 1961-04-23
  16783.878746053186 -8617.72030398899 -39857.0 1961-04-24
  16786.15930776406 -8617.65726252594 -39846.0 1961-04-25
  16775.753459835847 -8640.080778256974 -39845.0 1961-04-26
  16792.644785524077 -8648.780382644196 -39867.0 1961-04-27
  16780.71928735223 -8645.726643786795 -39835.0 1961-04-28
  16791.504191774122 -8648.810957445661 -39864.0 1961-04-29
  16794.347195095197 -8632.357226771732 -39855.0 1961-04-30
  16802.349668736468 -8612.386812580562 -39829.0 1961-05-01
  16769.143048330745 -8591.67070042961 -39858.0 1961-05-02
  16821.67681771239 -8622.911227679295 -39861.0 1961-05-03
  16837.98870470263 -8639.314867528941 -39852.0 1961-05-04
  16825.72740075947 -8647.868028325356 -39855.0 1961-05-05
  16791.312845441236 -8633.885216200184 -39848.0 1961-05-06
  16801.73340852907 -8639.86131073399 -39843.0 1961-05-07
  16807.62438357346 -8654.639656317695 -39861.0 1961-05-08
