D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
 15448.0    1902-03-02
 15449.0    1902-03-03
 15452.0    1902-03-04
 15455.0    1902-03-05
 15452.0    1902-03-06
 15454.0    1902-03-07
 15447.0    1902-03-08
 15450.0    1902-03-09
     1902-03-10
 15448.0    1902-03-11
 15441.0    1902-03-12
 15444.0    1902-03-13
 15445.0    1902-03-14
 15447.0    1902-03-15
 15448.0    1902-03-16
 15448.0    1902-03-17
 15450.0    1902-03-18
 15453.0    1902-03-19
 15449.0    1902-03-20
 15450.0    1902-03-21
 15446.0    1902-03-22
29.835 15447.0 13399.68099366164 7684.943608648214  1902-03-23
29.835 15438.0 13391.873838295358 7680.466073044029  1902-03-24
29.843333333333334 15441.0 13393.358786162196 7683.906651250516  1902-03-25
29.833333333333332 15442.0 13395.56715304647 7682.066430864971  1902-03-26
29.841666666666665 15445.0 13397.051911536953 7685.507470530754  1902-03-27
29.836666666666666 15444.0 13396.855100338953 7683.840798749162  1902-03-28
29.831666666666667 15447.0 13400.128062880856 7684.16403380309  1902-03-29
29.836666666666666 15446.0 13398.589994809341 7684.8358571276585  1902-03-30
29.835 15448.0 13400.548455369004 7685.441112604234  1902-03-31
29.84 15446.0 13398.142886507632 7685.615342490473  1902-04-01
29.838333333333335 15445.0 13397.499013564773 7684.728048638474  1902-04-02
29.83 15442.0 13396.01405488523 7681.2870953582615  1902-04-03
29.841666666666665 15446.0 13397.919315351233 7686.00507541716  1902-04-04
29.828333333333333 15447.0 13400.57508674549 7683.384432949851  1902-04-05
29.841666666666665 15445.0 13397.051911536953 7685.507470530754  1902-04-06
29.833333333333332 15453.0 13405.109391013282 7687.538696811061  1902-04-07
29.836666666666666 15450.0 13402.05978375012 7686.825973884652  1902-04-08
29.84 15448.0 13399.877723084934 7686.610501799355  1902-04-09
29.833333333333332 15454.0 13405.976867192083 7688.0361755334325  1902-04-10
29.898333333333333     1902-04-11
