F,X,Y,Z,date
NA,24715.34508367426,934.3481122678708,38511.0,1950-01-01
NA,24714.345797494512,934.3103348808871,38514.0,1950-01-02
NA,24706.41492052734,958.4814942105611,38517.0,1950-01-03
NA,24703.3536495173,933.8947836240663,38515.0,1950-01-04
NA,NA,NA,NA,1950-01-05
NA,NA,NA,NA,1950-01-06
NA,24700.410074379888,932.3444414337812,38512.0,1950-01-07
NA,24707.513439682993,929.7336327595152,38510.0,1950-01-08
NA,24713.563257243477,928.5214753709664,38511.0,1950-01-09
NA,24714.508488988464,929.9968536059991,38511.0,1950-01-10
NA,24714.291399698057,935.7481556544008,38516.0,1950-01-11
NA,24714.07297202478,941.499407028102,38518.0,1950-01-12
NA,24714.18235315854,938.6237876950547,38519.0,1950-01-13
NA,24719.178751014184,938.8135466687922,38516.0,1950-01-14
NA,24706.078770837,941.1948625005173,38517.0,1950-01-15
NA,24708.350080416032,934.0836705589849,38515.0,1950-01-16
NA,24707.35079423629,934.0458931720012,38512.0,1950-01-17
NA,24719.450794982804,931.6229894243276,38507.0,1950-01-18
NA,NA,NA,NA,1950-01-19
NA,NA,NA,NA,1950-01-20
NA,24695.196041307092,937.9027035948524,38512.0,1950-01-21
NA,24703.13565343944,939.6434897179292,38515.0,1950-01-22
NA,24715.686022273658,951.6409240814497,38513.0,1950-01-23
NA,24678.099066679766,940.1289566539708,38521.0,1950-01-24
NA,24657.839269522236,946.5403099747373,38530.0,1950-01-25
NA,24687.14721565557,939.0353308313354,38526.0,1950-01-26
NA,24690.87008194126,946.3696934592133,38523.0,1950-01-27
NA,24689.03633268374,941.9840568832265,38524.0,1950-01-28
NA,24698.02978907238,942.3271926954234,38523.0,1950-01-29
NA,24694.867146991553,946.5228958864195,38523.0,1950-01-30
NA,24705.18883701838,938.2822215423273,38523.0,1950-01-31
NA,24706.133485523915,939.7575195091656,38522.0,1950-02-01
NA,24690.98002991564,943.4967738720449,38527.0,1950-02-02
NA,24685.708235394537,950.4866737490148,38529.0,1950-02-03
NA,24703.75020307956,949.7420196277732,38526.0,1950-02-04
NA,24706.078770837,941.1948625005173,38523.0,1950-02-05
NA,24713.237636475285,937.148079601791,38517.0,1950-02-06
NA,24707.241945810983,936.9207176480645,NA,1950-02-07
NA,24700.192439162736,938.0924625685898,38519.0,1950-02-08
NA,NA,NA,NA,1950-02-09
NA,NA,NA,NA,1950-02-10
NA,NA,NA,NA,1950-02-11
NA,24715.290683678315,935.7859911774339,38508.0,1950-02-12
NA,24715.34508367426,934.3481122678708,38501.0,1950-02-13
NA,24718.397265145275,933.0233879482972,38502.0,1950-02-14
NA,24714.400111641855,932.8725109450714,38520.0,1950-02-15
NA,24713.346511314765,934.2725574939034,38529.0,1950-02-16
NA,24718.3429422135,934.4614444288219,38522.0,1950-02-17
NA,24723.339373112234,934.6503313637404,38528.0,1950-02-18
NA,24730.22542669081,937.7922718040162,38523.0,1950-02-19
NA,24694.31230316416,960.8896262293636,38538.0,1950-02-20
NA,24613.896157412102,969.9510050171463,38569.0,1950-02-21
NA,24654.565130390896,953.5969962794923,38556.0,1950-02-22
NA,24639.32599419092,959.4678483344827,38570.0,1950-02-23
NA,24662.780469306956,948.1669276932719,38558.0,1950-02-24
NA,24682.096167273656,940.2812289177632,38551.0,1950-02-25
NA,NA,NA,NA,1950-02-26
NA,NA,NA,NA,1950-02-27
NA,24692.034151479955,942.098435487292,38541.0,1950-02-28
NA,24690.09036846144,940.5857734453479,38539.0,1950-03-01
NA,24694.75684688557,949.3962677397119,38538.0,1950-03-02
NA,24697.809830827995,948.0746596423896,38537.0,1950-03-03
NA,24701.530013507192,955.4135187463644,38540.0,1950-03-04
NA,24708.58034096341,954.2465793265752,38542.0,1950-03-05
