H,X,Y,Z,date
NA,NA,NA,52535.0,1965-05-13
NA,NA,NA,52537.0,1965-05-14
NA,NA,NA,52536.0,1965-05-15
NA,NA,NA,52541.0,1965-05-16
NA,NA,NA,52539.0,1965-05-17
NA,NA,NA,52539.0,1965-05-18
NA,NA,NA,52536.0,1965-05-19
NA,NA,NA,52532.0,1965-05-20
NA,NA,NA,52534.0,1965-05-21
NA,NA,NA,52539.0,1965-05-22
NA,NA,NA,52537.0,1965-05-23
NA,NA,NA,52537.0,1965-05-24
NA,NA,NA,52532.0,1965-05-25
NA,NA,NA,52531.0,1965-05-26
NA,NA,NA,52532.0,1965-05-27
NA,NA,NA,52534.0,1965-05-28
NA,NA,NA,52533.0,1965-05-29
NA,NA,NA,52533.0,1965-05-30
NA,NA,NA,52533.0,1965-05-31
NA,NA,NA,52537.0,1965-06-01
NA,NA,NA,52539.0,1965-06-02
NA,NA,NA,52541.0,1965-06-03
NA,NA,NA,52538.0,1965-06-04
NA,NA,NA,52538.0,1965-06-05
NA,NA,NA,52540.0,1965-06-06
NA,NA,NA,52541.0,1965-06-07
NA,NA,NA,52538.0,1965-06-08
NA,NA,NA,52545.0,1965-06-09
NA,NA,NA,52542.0,1965-06-10
NA,NA,NA,52541.0,1965-06-11
NA,NA,NA,52542.0,1965-06-12
NA,NA,NA,52540.0,1965-06-13
NA,NA,NA,52540.0,1965-06-14
NA,NA,NA,52545.0,1965-06-15
NA,NA,NA,52557.0,1965-06-16
NA,NA,NA,NA,1965-06-17
NA,NA,NA,NA,1965-06-18
NA,NA,NA,52547.0,1965-06-19
NA,NA,NA,52545.0,1965-06-20
NA,NA,NA,52538.0,1965-06-21
NA,NA,NA,52539.0,1965-06-22
NA,NA,NA,52539.0,1965-06-23
NA,NA,NA,52538.0,1965-06-24
NA,NA,NA,52536.0,1965-06-25
NA,NA,NA,52542.0,1965-06-26
NA,NA,NA,52545.0,1965-06-27
NA,NA,NA,52543.0,1965-06-28
NA,NA,NA,52544.0,1965-06-29
NA,NA,NA,52548.0,1965-06-30
NA,19915.94590644626,3081.964901082819,52539.0,1965-07-01
NA,NA,NA,NA,1965-07-02
NA,NA,NA,NA,1965-07-03
NA,NA,NA,52538.0,1965-07-04
NA,NA,NA,52534.0,1965-07-05
NA,NA,NA,NA,1965-07-06
NA,19917.65332629923,3084.0089126591783,52542.0,1965-07-07
NA,19930.50023740029,3085.998102233208,52536.0,1965-07-08
NA,19923.311766003888,3080.137703839081,52540.0,1965-07-09
NA,19914.509227145234,3084.7084533140905,52543.0,1965-07-10
NA,19916.575388210254,3084.4352490751844,52542.0,1965-07-11
NA,19930.05029149274,3082.3666846386336,52543.0,1965-07-12
NA,19929.2413230771,3081.054411489033,52542.0,1965-07-13
NA,19925.28828502829,3080.4432730557314,52538.0,1965-07-14
NA,19919.80917862014,3083.1560595209653,52539.0,1965-07-15
NA,19916.84448012652,3082.697188251502,52536.0,1965-07-16
NA,19928.703274100993,3084.5326733293537,52538.0,1965-07-17
NA,19940.201842402483,3082.1550065252536,52534.0,1965-07-18
NA,19911.723982714124,3083.0908251634723,52541.0,1965-07-19
NA,19921.606222022634,3084.620970989649,52540.0,1965-07-20
NA,NA,NA,52543.0,1965-07-21
NA,19930.58796241199,3078.8881877324184,52541.0,1965-07-22
NA,19929.6915069322,3084.6856304191747,52536.0,1965-07-23
NA,19926.36614701696,3080.0164244718585,52536.0,1965-07-24
NA,19925.828279247555,3083.494184515103,52534.0,1965-07-25
NA,19929.2413230771,3081.054411489033,52536.0,1965-07-26
NA,19937.326685023505,3081.1167869215246,52529.0,1965-07-27
NA,19919.719484818164,3083.735501977356,52535.0,1965-07-28
NA,19918.102959051605,3087.638339025435,52538.0,1965-07-29
NA,NA,NA,NA,1965-07-30
NA,NA,NA,NA,1965-07-31
NA,19929.332452552495,3087.004534437538,52545.0,1965-08-01
NA,19920.887858714777,3089.2568557033383,52546.0,1965-08-02
NA,19921.51648560735,3085.2004657192933,52544.0,1965-08-03
NA,19926.09837970583,3088.2842100889675,52543.0,1965-08-04
NA,19925.020339519622,3088.710648430733,52538.0,1965-08-05
NA,19926.457583004445,3085.9656823634023,52539.0,1965-08-06
NA,NA,NA,52538.0,1965-08-07
NA,19932.656205425817,3085.1445016886373,52541.0,1965-08-08
NA,19928.254436224848,3087.4311530922682,52539.0,1965-08-09
NA,19920.61799809178,3084.467956407031,52536.0,1965-08-10
NA,19926.63708348829,3084.806402831344,52535.0,1965-08-11
NA,19924.660626725396,3084.500431158776,52540.0,1965-08-12
NA,19928.88325515207,3089.9031056846043,52540.0,1965-08-13
NA,19920.258969101018,3086.785804676178,52543.0,1965-08-14
NA,19922.594445953484,3084.7739855722666,52542.0,1965-08-15
NA,19935.710652048845,3085.0234679473874,52542.0,1965-08-16
NA,19919.899670418796,3089.1036111547146,52543.0,1965-08-17
NA,19929.422241442702,3086.424812349868,52540.0,1965-08-18
NA,19906.7837454766,3088.848638381072,52545.0,1965-08-19
NA,19915.946917234865,3088.4906329602204,52541.0,1965-08-20
NA,19911.724620072153,3089.6152922997567,52541.0,1965-08-21
NA,19917.563761133017,3091.114656754231,52538.0,1965-08-22
NA,19925.289804502707,3086.9718506297436,52534.0,1965-08-23
NA,19921.695941581056,3084.041473649924,52536.0,1965-08-24
NA,19918.462087253836,3085.3207416136765,52535.0,1965-08-25
NA,19921.15737137918,3087.518418527251,52538.0,1965-08-26
NA,19922.32517278057,3086.5125481672185,52535.0,1965-08-27
NA,19921.695941581056,3084.041473649924,52536.0,1965-08-28
NA,19926.547341676887,3085.386043902737,52535.0,1965-08-29
NA,NA,NA,NA,1965-08-30
NA,19914.509227145234,3084.7084533140905,52540.0,1965-08-31
NA,19922.50470508677,3085.353509048115,52540.0,1965-09-01
NA,19920.52826612793,3085.0474223904716,52542.0,1965-09-02
NA,19927.535565607737,3085.539058485355,52539.0,1965-09-03
NA,19923.582669884334,3084.9270001548844,52541.0,1965-09-04
NA,19922.32517278057,3086.5125481672185,52540.0,1965-09-05
NA,19925.738575607375,3084.073802059891,52539.0,1965-09-06
NA,19928.882691211955,3083.3732631507073,52538.0,1965-09-07
NA,19927.535565607737,3085.539058485355,52539.0,1965-09-08
NA,19927.535565607737,3085.539058485355,52535.0,1965-09-09
NA,19929.422241442702,3086.424812349868,52531.0,1965-09-10
