H,X,Y,Z,date
NA,NA,NA,NA,1958-06-03
NA,NA,NA,NA,1958-06-04
NA,NA,NA,NA,1958-06-05
NA,NA,NA,NA,1958-06-06
NA,NA,NA,NA,1958-06-07
NA,NA,NA,NA,1958-06-08
NA,NA,NA,NA,1958-06-09
NA,NA,NA,NA,1958-06-10
NA,NA,NA,NA,1958-06-11
NA,NA,NA,NA,1958-06-12
NA,NA,NA,NA,1958-06-13
NA,NA,NA,NA,1958-06-14
NA,NA,NA,NA,1958-06-15
NA,NA,NA,NA,1958-06-16
NA,NA,NA,NA,1958-06-17
NA,NA,NA,NA,1958-06-18
NA,NA,NA,NA,1958-06-19
NA,NA,NA,NA,1958-06-20
NA,NA,NA,NA,1958-06-21
NA,NA,NA,NA,1958-06-22
NA,NA,NA,NA,1958-06-23
NA,NA,NA,NA,1958-06-24
NA,NA,NA,NA,1958-06-25
NA,NA,NA,NA,1958-06-26
NA,NA,NA,NA,1958-06-27
NA,NA,NA,NA,1958-06-28
NA,NA,NA,NA,1958-06-29
NA,NA,NA,NA,1958-06-30
NA,NA,NA,170.0,1958-07-01
NA,NA,NA,142.0,1958-07-02
NA,NA,NA,NA,1958-07-03
11565.0,NA,NA,NA,1958-07-04
11570.0,NA,NA,NA,1958-07-05
11562.0,NA,NA,108.0,1958-07-06
11560.0,NA,NA,115.0,1958-07-07
11529.0,NA,NA,123.0,1958-07-08
11565.0,NA,NA,212.0,1958-07-09
11475.0,NA,NA,NA,1958-07-10
11507.0,NA,NA,112.0,1958-07-11
11575.0,NA,NA,137.0,1958-07-12
11563.0,NA,NA,134.0,1958-07-13
11568.0,NA,NA,118.0,1958-07-14
11557.0,NA,NA,121.0,1958-07-15
11542.0,NA,NA,110.0,1958-07-16
11534.0,NA,NA,111.0,1958-07-17
11526.0,NA,NA,103.0,1958-07-18
11489.0,NA,NA,114.0,1958-07-19
11533.0,NA,NA,95.0,1958-07-20
11547.0,NA,NA,141.0,1958-07-21
11579.0,NA,NA,131.0,1958-07-22
11548.0,NA,NA,110.0,1958-07-23
11546.0,NA,NA,87.0,1958-07-24
11554.0,NA,NA,131.0,1958-07-25
11550.0,NA,NA,109.0,1958-07-26
11605.0,NA,NA,118.0,1958-07-27
11543.0,NA,NA,111.0,1958-07-28
11569.0,NA,NA,109.0,1958-07-29
11571.0,NA,NA,125.0,1958-07-30
11574.0,NA,NA,131.0,1958-07-31
11569.0,NA,NA,124.0,1958-08-01
11598.0,NA,NA,137.0,1958-08-02
11565.0,NA,NA,140.0,1958-08-03
11575.0,NA,NA,145.0,1958-08-04
11580.0,NA,NA,150.0,1958-08-05
11559.0,NA,NA,121.0,1958-08-06
11585.0,NA,NA,144.0,1958-08-07
11570.0,NA,NA,132.0,1958-08-08
11555.0,NA,NA,109.0,1958-08-09
11557.0,NA,NA,130.0,1958-08-10
11569.0,NA,NA,125.0,1958-08-11
11557.0,NA,NA,115.0,1958-08-12
11550.0,NA,NA,105.0,1958-08-13
11540.0,NA,NA,100.0,1958-08-14
11569.0,NA,NA,90.0,1958-08-15
11574.0,NA,NA,99.0,1958-08-16
11542.0,NA,NA,NA,1958-08-17
11538.0,NA,NA,125.0,1958-08-18
11560.0,NA,NA,108.0,1958-08-19
11565.0,NA,NA,106.0,1958-08-20
11559.0,NA,NA,98.0,1958-08-21
11530.0,NA,NA,69.0,1958-08-22
11553.0,NA,NA,99.0,1958-08-23
11574.0,NA,NA,85.0,1958-08-24
11553.0,NA,NA,142.0,1958-08-25
11594.0,NA,NA,144.0,1958-08-26
11527.0,NA,NA,188.0,1958-08-27
11535.0,NA,NA,145.0,1958-08-28
11552.0,NA,NA,145.0,1958-08-29
11545.0,NA,NA,118.0,1958-08-30
11569.0,NA,NA,135.0,1958-08-31
11569.0,NA,NA,138.0,1958-09-01
11564.0,NA,NA,131.0,1958-09-02
11602.0,NA,NA,132.0,1958-09-03
11455.0,NA,NA,228.0,1958-09-04
11494.0,NA,NA,232.0,1958-09-05
11531.0,NA,NA,156.0,1958-09-06
11525.0,NA,NA,177.0,1958-09-07
11505.0,NA,NA,167.0,1958-09-08
11517.0,NA,NA,140.0,1958-09-09
11543.0,NA,NA,139.0,1958-09-10
11546.0,NA,NA,119.0,1958-09-11
11546.0,NA,NA,114.0,1958-09-12
11550.0,NA,NA,116.0,1958-09-13
11554.0,NA,NA,116.0,1958-09-14
11556.0,NA,NA,116.0,1958-09-15
11488.0,NA,NA,118.0,1958-09-16
11556.0,NA,NA,134.0,1958-09-17
11548.0,NA,NA,119.0,1958-09-18
11554.0,NA,NA,118.0,1958-09-19
11557.0,NA,NA,108.0,1958-09-20
11562.0,NA,NA,107.0,1958-09-21
11564.0,NA,NA,106.0,1958-09-22
11568.0,NA,NA,105.0,1958-09-23
11563.0,NA,NA,119.0,1958-09-24
11562.0,NA,NA,84.0,1958-09-25
11540.0,NA,NA,157.0,1958-09-26
11536.0,NA,NA,143.0,1958-09-27
11555.0,NA,NA,135.0,1958-09-28
11551.0,NA,NA,115.0,1958-09-29
11563.0,NA,NA,138.0,1958-09-30
11533.0,NA,NA,151.0,1958-10-01
11510.0,NA,NA,135.0,1958-10-02
11557.0,NA,NA,145.0,1958-10-03
11557.0,NA,NA,149.0,1958-10-04
11538.0,NA,NA,132.0,1958-10-05
11559.0,NA,NA,139.0,1958-10-06
11528.0,NA,NA,132.0,1958-10-07
11530.0,NA,NA,111.0,1958-10-08
11565.0,NA,NA,125.0,1958-10-09
11565.0,NA,NA,134.0,1958-10-10
11552.0,NA,NA,126.0,1958-10-11
11564.0,NA,NA,124.0,1958-10-12
11573.0,NA,NA,140.0,1958-10-13
11565.0,NA,NA,133.0,1958-10-14
11562.0,NA,NA,134.0,1958-10-15
11564.0,NA,NA,136.0,1958-10-16
11555.0,NA,NA,116.0,1958-10-17
11555.0,NA,NA,120.0,1958-10-18
11557.0,NA,NA,134.0,1958-10-19
11555.0,NA,NA,125.0,1958-10-20
11563.0,NA,NA,134.0,1958-10-21
11516.0,NA,NA,165.0,1958-10-22
11494.0,NA,NA,134.0,1958-10-23
11438.0,NA,NA,132.0,1958-10-24
11529.0,NA,NA,150.0,1958-10-25
11524.0,NA,NA,152.0,1958-10-26
11486.0,NA,NA,168.0,1958-10-27
11504.0,NA,NA,174.0,1958-10-28
11507.0,NA,NA,138.0,1958-10-29
11552.0,NA,NA,116.0,1958-10-30
11560.0,NA,NA,122.0,1958-10-31
11572.0,NA,NA,125.0,1958-11-01
11582.0,NA,NA,96.0,1958-11-02
11571.0,NA,NA,126.0,1958-11-03
11557.0,NA,NA,112.0,1958-11-04
11568.0,NA,NA,121.0,1958-11-05
11569.0,NA,NA,120.0,1958-11-06
11575.0,NA,NA,121.0,1958-11-07
11571.0,NA,NA,115.0,1958-11-08
11578.0,NA,NA,110.0,1958-11-09
11564.0,NA,NA,117.0,1958-11-10
11554.0,NA,NA,119.0,1958-11-11
11560.0,NA,NA,114.0,1958-11-12
11566.0,NA,NA,122.0,1958-11-13
11565.0,NA,NA,108.0,1958-11-14
11571.0,NA,NA,112.0,1958-11-15
11575.0,NA,NA,120.0,1958-11-16
11555.0,NA,NA,106.0,1958-11-17
11547.0,NA,NA,136.0,1958-11-18
11567.0,NA,NA,123.0,1958-11-19
11563.0,NA,NA,113.0,1958-11-20
11568.0,NA,NA,113.0,1958-11-21
11567.0,NA,NA,103.0,1958-11-22
11569.0,NA,NA,NA,1958-11-23
11569.0,NA,NA,NA,1958-11-24
11525.0,NA,NA,NA,1958-11-25
11553.0,NA,NA,135.0,1958-11-26
11570.0,NA,NA,124.0,1958-11-27
11539.0,NA,NA,96.0,1958-11-28
11561.0,NA,NA,103.0,1958-11-29
11561.0,NA,NA,107.0,1958-11-30
11568.0,NA,NA,106.0,1958-12-01
11584.0,NA,NA,84.0,1958-12-02
11564.0,NA,NA,133.0,1958-12-03
11487.0,NA,NA,143.0,1958-12-04
11500.0,NA,NA,160.0,1958-12-05
