H,X,Y,Z,date
NA,23149.029802702855,6173.182582232201,43880.0,1996-09-03
NA,23152.03943127989,6169.65721677155,43876.0,1996-09-04
NA,23144.916609448373,6169.201256376769,43880.0,1996-09-05
NA,23148.24312219881,6172.251562888166,43879.0,1996-09-06
NA,23145.34439826148,6171.478646634517,43880.0,1996-09-07
NA,23145.771965846267,6173.756158534688,43882.0,1996-09-08
NA,23157.905535323243,6174.8279504003285,43879.0,1996-09-09
NA,23137.862678140635,6172.367429723106,43881.0,1996-09-10
NA,23134.715743824607,6168.644620371138,43881.0,1996-09-11
NA,23125.481370509897,6168.343974050062,43886.0,1996-09-12
NA,23135.681985137053,6168.902259122355,43885.0,1996-09-13
NA,23141.47943301171,6170.448091629652,43883.0,1996-09-14
NA,23142.873309369643,6172.982989322599,43882.0,1996-09-15
NA,23140.085290488445,6167.9134842279,43881.0,1996-09-16
NA,23139.546950386823,6169.932814127219,43883.0,1996-09-17
NA,23137.614467761938,6169.417536624786,43880.0,1996-09-18
NA,23138.93960706828,6168.329016876997,43882.0,1996-09-19
NA,23131.8858984799,6171.49380455873,43879.0,1996-09-20
NA,23131.2095566713,6166.2683565798825,43883.0,1996-09-21
NA,23136.15062617736,6163.260760574129,43880.0,1996-09-22
NA,23127.165182183573,6165.910771005038,43882.0,1996-09-23
NA,23134.895172635104,6167.971656159333,43884.0,1996-09-24
NA,23141.230969312313,6167.497890144813,43881.0,1996-09-25
NA,23138.152762904472,6167.3983753683515,43882.0,1996-09-26
NA,23137.007094469038,6167.813851802719,43883.0,1996-09-27
NA,23137.365884178183,6166.4677848560505,43882.0,1996-09-28
NA,23148.60217006451,6170.904842248391,43879.0,1996-09-29
NA,23147.815400824333,6169.973919666092,43877.0,1996-09-30
NA,23149.568426364134,6171.162424785531,43878.0,1996-10-01
NA,23152.108087448585,6173.282117893031,43875.0,1996-10-02
NA,23142.197240595844,6167.755416467004,43879.0,1996-10-03
NA,23147.99486829704,6169.300574400148,43876.0,1996-10-04
NA,23152.21888953829,6168.983748633676,43876.0,1996-10-05
NA,23155.36596416187,6172.707920008367,43876.0,1996-10-06
NA,23158.196090725807,6169.854927264658,43873.0,1996-10-07
NA,23152.75714677007,6166.963312902667,43874.0,1996-10-08
NA,23136.040838169414,6167.556269265579,43878.0,1996-10-09
NA,23139.049529901982,6164.033002243164,43879.0,1996-10-10
NA,23146.95929439609,6165.418998216632,43876.0,1996-10-11
NA,23139.94580741633,6160.6674987241,43875.0,1996-10-12
NA,23132.355180152554,6165.853048789708,43876.0,1996-10-13
NA,23133.680134568942,6164.76475069815,43877.0,1996-10-14
NA,23144.309201085805,6167.597231056434,43875.0,1996-10-15
NA,23145.813638592757,6165.834899470915,43873.0,1996-10-16
NA,23150.714192200292,6170.746582955414,43872.0,1996-10-17
NA,23130.063928602896,6166.683602937899,43874.0,1996-10-18
NA,23126.05882332935,6158.411101892332,43874.0,1996-10-19
NA,23125.52131252043,6160.429207787664,43878.0,1996-10-20
NA,23137.47546721549,6162.172101134587,43875.0,1996-10-21
NA,23129.49519648532,6157.164684801147,43872.0,1996-10-22
NA,23102.221867682612,6158.540880465701,43886.0,1996-10-23
NA,23127.812305059117,6159.598524413432,43877.0,1996-10-24
NA,23127.88246192338,6163.219761411813,43879.0,1996-10-25
NA,23135.184324935824,6163.00334668445,43878.0,1996-10-26
NA,23140.76131212545,6173.140683253368,43876.0,1996-10-27
NA,23137.075996416395,6171.43665089842,43878.0,1996-10-28
NA,23135.93025548409,6171.851927369598,43875.0,1996-10-29
NA,23131.74757702042,6164.249754269371,43874.0,1996-10-30
NA,23134.646413343202,6165.02224891254,43875.0,1996-10-31
NA,23143.701684426847,6165.993297292657,43872.0,1996-11-01
NA,23144.309201085805,6167.597231056434,43872.0,1996-11-02
NA,23154.689764228064,6167.478084464679,43871.0,1996-11-03
NA,23146.281505674968,6160.191268138424,43869.0,1996-11-04
NA,23142.416061201744,6159.162512081621,43874.0,1996-11-05
NA,23141.449700083434,6158.90532306742,43874.0,1996-11-06
NA,23147.06865681854,6161.12178069292,43872.0,1996-11-07
NA,23147.855773411717,6162.052344254301,43870.0,1996-11-08
NA,23144.0603682091,6164.646840873614,43868.0,1996-11-09
NA,23139.83650941379,6164.963529300124,43868.0,1996-11-10
NA,23145.99298566709,6165.161612435625,43865.0,1996-11-11
NA,23147.746241075834,6166.349727250272,43865.0,1996-11-12
NA,23151.221933299454,6157.179467508987,43862.0,1996-11-13
NA,23137.33420942034,6154.927268586302,43865.0,1996-11-14
NA,NA,NA,NA,1996-11-15
NA,NA,NA,NA,1996-11-16
NA,NA,NA,NA,1996-11-17
NA,NA,NA,NA,1996-11-18
NA,23144.41897365708,6163.300363589472,43865.0,1996-11-19
NA,23144.847337351217,6165.577485581236,43865.0,1996-11-20
NA,23138.690881839895,6165.3791671444915,43869.0,1996-11-21
NA,23145.88287324036,6169.458810806544,43866.0,1996-11-22
NA,23145.771965846267,6173.756158534688,43864.0,1996-11-23
NA,23146.985837683013,6176.96492058212,43865.0,1996-11-24
NA,23141.18870469365,6175.417907620418,43866.0,1996-11-25
NA,23146.019648851452,6176.707085088503,43864.0,1996-11-26
NA,23141.79556811066,6177.022088658389,43866.0,1996-11-27
NA,23141.47943301171,6170.448091629652,43865.0,1996-11-28
NA,23149.25059216438,6164.587011404508,43864.0,1996-11-29
NA,23145.56457819181,6162.884418578096,43863.0,1996-11-30
NA,23152.68750418182,6163.338570426183,43861.0,1996-12-01
NA,23154.79948591112,6163.1795176881,43862.0,1996-12-02
NA,23143.38242232005,6159.419701095821,43863.0,1996-12-03
NA,23146.460688582523,6159.517967495822,43863.0,1996-12-04
NA,23144.956734949654,6161.280608551171,43863.0,1996-12-05
NA,23148.64285545219,6162.982958821341,43862.0,1996-12-06
NA,23154.082210671673,6165.8736592195455,43860.0,1996-12-07
NA,23149.071261803136,6165.260393199974,43860.0,1996-12-08
NA,23158.306242158706,6165.555692262719,43858.0,1996-12-09
NA,23133.96860395424,6159.796801133919,43863.0,1996-12-10
NA,23135.542834784213,6161.657385790356,43864.0,1996-12-11
NA,23138.013130075025,6160.152952035825,43863.0,1996-12-12
NA,23137.833928700096,6160.826006948645,43863.0,1996-12-13
NA,23142.127750751104,6164.132069311601,43863.0,1996-12-14
NA,23139.94580741633,6160.6674987241,43861.0,1996-12-15
NA,23136.867597513632,6160.568705494963,43863.0,1996-12-16
NA,23137.40512045282,6158.549609448945,43862.0,1996-12-17
NA,23142.486326254162,6162.7857044634575,43862.0,1996-12-18
NA,23143.45264995562,6163.043034026465,43862.0,1996-12-19
NA,23151.541871464146,6163.754778853754,43859.0,1996-12-20
NA,23152.149563268755,6165.359000093531,43858.0,1996-12-21
NA,23141.62884558641,6158.2321629768885,43859.0,1996-12-22
NA,23132.46466346113,6161.558211501542,43863.0,1996-12-23
NA,23154.79948591112,6163.1795176881,43858.0,1996-12-24
NA,23144.0989466798,6156.726804584969,43856.0,1996-12-25
NA,23152.546525243888,6156.089537719311,43857.0,1996-12-26
NA,23152.438108380407,6160.387458400212,43856.0,1996-12-27
NA,23152.32889649706,6164.6855287538665,43856.0,1996-12-28
NA,23150.93407136483,6162.15064919051,43854.0,1996-12-29
NA,23147.67651678154,6162.725685477203,43854.0,1996-12-30
NA,23144.23968072495,6163.973604839396,43856.0,1996-12-31
NA,23149.49944694643,6167.537949281457,43854.0,1997-01-01
NA,23147.746241075834,6166.349727250272,43853.0,1997-01-02
NA,23151.362565310596,6164.4282273001845,43852.0,1997-01-03
NA,23147.746241075834,6166.349727250272,43854.0,1997-01-04
NA,23152.68750418182,6163.338570426183,43854.0,1997-01-05
NA,23153.295227683524,6164.942830207548,43853.0,1997-01-06
NA,23144.956734949654,6161.280608551171,43855.0,1997-01-07
NA,23148.463571751203,6163.65632293914,43854.0,1997-01-08
NA,23149.609194122844,6163.240232165479,43853.0,1997-01-09
NA,23125.122471668597,6169.689349580579,43852.0,1997-01-10
