D,H,X,Y,Z,date
NA,NA,NA,NA,NA,1902-01-01
9.306666666666667,29294.0,28908.40033221881,4737.3860125781575,NA,1902-01-02
9.308333333333334,29296.0,28910.23617941847,4738.550416556029,NA,1902-01-03
9.306666666666667,29291.0,28905.439821500007,4736.9008566405,NA,1902-01-04
9.31,29290.0,28904.177363365787,4738.420722887822,NA,1902-01-05
9.308333333333334,29295.0,28909.249347216824,4738.38866920429,NA,1902-01-06
9.308333333333334,29294.0,28908.262515015176,4738.22692185255,NA,1902-01-07
9.313333333333333,29295.0,28908.835734721502,4740.911459085584,NA,1902-01-08
9.313333333333333,29284.0,28897.98073581104,4739.131290932318,NA,1902-01-09
9.313333333333333,29285.0,28898.96755389381,4739.293124400797,NA,1902-01-10
9.313333333333333,29284.0,28897.98073581104,4739.131290932318,NA,1902-01-11
9.308333333333334,29294.0,28908.262515015176,4738.22692185255,NA,1902-01-12
9.313333333333333,29296.0,28909.82255280427,4741.073292554063,NA,1902-01-13
9.308333333333334,29300.0,28914.183508225055,4739.1974059629865,NA,1902-01-14
9.306666666666667,29299.0,28913.334516750154,4738.194605807586,NA,1902-01-15
9.305,29261.0,28875.972351829503,4731.209331278633,NA,1902-01-16
9.308333333333334,29278.0,28892.47319978884,4735.63896422472,NA,1902-01-17
9.311666666666667,29281.0,28895.15811095637,4737.80526645327,NA,1902-01-18
9.308333333333334,29287.0,28901.354689603657,4737.094690390375,NA,1902-01-19
9.311666666666667,29292.0,28906.01316164523,4739.585118846664,NA,1902-01-20
9.306666666666667,29293.0,28907.413495312543,4737.224293932271,NA,1902-01-21
9.308333333333334,29297.0,28911.223011620114,4738.712163907768,NA,1902-01-22
9.308333333333334,29290.0,28904.315186208594,4737.579932445593,NA,1902-01-23
9.318333333333333,29293.0,28906.448294160055,4743.110373694804,NA,1902-01-24
9.316666666666666,NA,NA,NA,NA,1902-01-25
9.318333333333333,NA,NA,NA,NA,1902-01-26
9.308333333333334,NA,NA,NA,NA,1902-01-27
9.321666666666667,NA,NA,NA,NA,1902-01-28
9.306666666666667,NA,NA,NA,NA,1902-01-29
9.315,29293.0,28906.72418821699,4741.428656676261,NA,1902-01-30
9.308333333333334,29297.0,28911.223011620114,4738.712163907768,NA,1902-01-31
9.315,29298.0,28911.658255091024,4742.237967545185,NA,1902-02-01
9.315,29297.0,28910.67144171622,4742.0761053713995,NA,1902-02-02
9.31,29296.0,28910.09832834292,4739.391379232558,NA,1902-02-03
9.315,29298.0,28911.658255091024,4742.237967545185,NA,1902-02-04
9.308333333333334,29299.0,28913.196676023406,4739.035658611247,NA,1902-02-05
9.31,29298.0,28912.071983335296,4739.714931347471,NA,1902-02-06
9.311666666666667,29289.0,28903.052693275542,4739.099704557556,NA,1902-02-07
9.311666666666667,29278.0,28892.19764258668,4737.319852164162,NA,1902-02-08
9.306666666666667,29284.0,28898.531963156132,4735.7688261193,NA,1902-02-09
9.308333333333334,29283.0,28897.40736079707,4736.447700983417,NA,1902-02-10
9.313333333333333,29290.0,28903.901644307658,4740.10229174319,NA,1902-02-11
9.308333333333334,29287.0,28901.354689603657,4737.094690390375,NA,1902-02-12
9.313333333333333,29289.0,28902.91482622489,4739.940458274712,NA,1902-02-13
9.313333333333333,29289.0,28902.91482622489,4739.940458274712,NA,1902-02-14
9.315,29291.0,28904.750561467376,4741.104932328692,NA,1902-02-15
9.308333333333334,29290.0,28904.315186208594,4737.579932445593,NA,1902-02-16
9.305,29282.0,28896.696025640667,4734.604820016436,NA,1902-02-17
9.306666666666667,29294.0,28908.40033221881,4737.3860125781575,NA,1902-02-18
9.31,29295.0,28909.11150084673,4739.229603175103,NA,1902-02-19
9.311666666666667,29297.0,28910.94727559471,4740.394142661843,NA,1902-02-20
9.308333333333334,29281.0,28895.433696393782,4736.124206279938,NA,1902-02-21
9.306666666666667,29287.0,28901.492473874936,4736.253982056956,NA,1902-02-22
9.311666666666667,29289.0,28903.052693275542,4739.099704557556,NA,1902-02-23
9.315,29295.0,28908.697814966603,4741.752381023831,NA,1902-02-24
9.311666666666667,29290.0,28904.039516065437,4739.261509320592,NA,1902-02-25
9.308333333333334,29285.0,28899.381025200364,4736.771195686896,NA,1902-02-26
9.315,29290.0,28903.76374809257,4740.943070154907,NA,1902-02-27
9.311666666666667,29296.0,28909.960452804815,4740.232337898808,NA,1902-02-28
9.313333333333333,29300.0,28913.76982513535,4741.7206264279785,NA,1902-03-01
9.311666666666667,29291.0,28905.026338855332,4739.423314083628,NA,1902-03-02
9.311666666666667,29295.0,28908.97363001492,4740.070533135771,NA,1902-03-03
9.311666666666667,29300.0,28913.907743964402,4740.879556950951,NA,1902-03-04
9.31,29304.0,28917.99294831243,4740.685587692207,NA,1902-03-05
9.308333333333334,29297.0,28911.223011620114,4738.712163907768,NA,1902-03-06
9.305,29299.0,28913.472333011607,4737.353548994657,NA,1902-03-07
9.311666666666667,29294.0,28907.98680722502,4739.908728372736,NA,1902-03-08
9.311666666666667,29287.0,28901.079047695748,4738.776095031485,NA,1902-03-09
9.308333333333334,29289.0,28903.328354006946,4737.418185093853,NA,1902-03-10
9.308333333333334,29304.0,28918.130837031636,4739.844395369943,NA,1902-03-11
9.305,29285.0,28899.656550470834,4735.089889836122,NA,1902-03-12
9.311666666666667,29289.0,28903.052693275542,4739.099704557556,NA,1902-03-13
9.306666666666667,29290.0,28904.45298459374,4736.739137994614,NA,1902-03-14
9.313333333333333,29297.0,28910.80937088704,4741.235126022542,NA,1902-03-15
9.31,29292.0,28906.151018358167,4738.744275002735,NA,1902-03-16
