H,X,Y,Z,date
NA,25033.073468159808,-630.010902852911,37171.0,2002-06-25
NA,25026.13055211654,-627.6508491342893,37175.0,2002-06-26
NA,25029.056400392197,-630.6383321574409,37172.0,2002-06-27
NA,25037.07220199123,-630.1115395531791,37172.0,2002-06-28
NA,25039.053227648015,-630.8902147041348,37170.0,2002-06-29
NA,25030.11102358484,-628.4792335604479,37174.0,2002-06-30
NA,25027.23940669518,-623.3078532828025,37176.0,2002-07-01
NA,25030.11102358484,-628.4792335604479,37170.0,2002-07-02
NA,25033.18304452952,-625.6417977403477,37174.0,2002-07-03
NA,25038.053544922434,-630.8650264494654,37171.0,2002-07-04
NA,25043.03359317191,-631.7194403081247,37171.0,2002-07-05
NA,25015.279329437617,-621.5537548845215,37175.0,2002-07-06
NA,25020.385908913016,-617.3110796567821,37174.0,2002-07-07
NA,25032.165147649772,-626.3449694761148,37177.0,2002-07-08
NA,25030.274701293172,-621.9263443551392,37174.0,2002-07-09
NA,25028.202790320236,-624.7888336121734,37177.0,2002-07-10
NA,25035.218779100916,-624.235278202746,37174.0,2002-07-11
NA,25025.221886244988,-623.9860128279097,37177.0,2002-07-12
NA,25021.29555219495,-620.9749509514259,37178.0,2002-07-13
NA,25030.147544665575,-627.023039666011,37173.0,2002-07-14
NA,25042.162018715127,-626.5951072434774,37175.0,2002-07-15
NA,25046.17898636806,-625.9665988014325,37172.0,2002-07-16
NA,25035.14597655803,-627.1482539482352,37174.0,2002-07-17
NA,25029.275009836136,-621.9015050570981,37176.0,2002-07-18
NA,25029.36519700872,-618.261138006178,37173.0,2002-07-19
NA,25021.22312910262,-623.8863066779752,37177.0,2002-07-20
NA,25012.37038100244,-617.8413417308215,37176.0,2002-07-21
NA,25014.243436561883,-622.9841863328254,37180.0,2002-07-22
NA,25022.42117469402,-615.9046648826923,37176.0,2002-07-23
NA,25023.294936553273,-621.0245713877957,37179.0,2002-07-24
NA,25032.165147649772,-626.3449694761148,37174.0,2002-07-25
NA,25020.511088176743,-612.2163722285508,37175.0,2002-07-26
NA,25018.40446219054,-616.5339943947807,37175.0,2002-07-27
NA,25021.36763653518,-618.063586817775,37177.0,2002-07-28
NA,25031.220021958547,-624.1355720528115,37172.0,2002-07-29
NA,25032.34628495317,-619.0633814005928,37172.0,2002-07-30
NA,25025.221886244988,-623.9860128279097,37174.0,2002-07-31
NA,25022.24095664391,-623.1833659943497,37177.0,2002-08-01
NA,25005.604301909152,-608.2125420792426,37183.0,2002-08-02
NA,25008.461183266205,-614.1052394072879,37185.0,2002-08-03
NA,25015.387430027586,-617.1877555638348,37178.0,2002-08-04
NA,25026.45575878982,-614.547112380958,37178.0,2002-08-05
NA,25028.34750759136,-618.964489486631,37176.0,2002-08-06
NA,25032.400213108416,-616.8788947352876,37176.0,2002-08-07
NA,25035.27315857836,-622.0505408453452,37172.0,2002-08-08
NA,25024.366721712755,-618.1376685134261,37179.0,2002-08-09
NA,25015.40537270814,-616.4600871789578,37176.0,2002-08-10
NA,25016.31514053587,-620.1232050131005,37182.0,2002-08-11
