date,dx,dy,dz
1957-02-01,NA,NA,NA
1957-03-01,NA,NA,NA
1957-04-01,NA,NA,NA
1957-05-01,NA,NA,NA
1957-06-01,NA,NA,NA
1957-07-01,NA,NA,NA
1957-08-01,47.55722509913903,-14.937335154906066,-10.45161290327087
1957-09-01,-519.5956014934927,144.70533021160014,315.84516129037365
1957-10-01,401.75068710128835,-88.94255151805282,-146.6838709677395
1957-11-01,-66.27337362294202,45.36958081577603,57.083870967733674
1957-12-01,-10.825453741810634,41.1931422601819,27.30322580644861
1958-01-01,22.15373218600871,26.12215634383449,54.19354838709114
1958-02-01,-23.97127523738891,26.576041656470693,48.76036866358481
1958-03-01,-50.189095977373654,23.95016737267116,-2.308755760313943
1958-04-01,205.29202861232625,14.712305612065904,-27.948387096781516
1958-05-01,159.87661484438286,27.299079709236878,41.88387096769293
1958-06-01,-130.50830396998208,28.756591960997525,135.3161290322605
1958-07-01,-41.54972126969369,43.23648925593827,110.49032258064835
1958-08-01,97.863463644273,-30.013278093035666,-54.580645161273424
1958-09-01,-141.7343542259041,61.06049382146915,95.69032258060179
1958-10-01,23.108460796516738,23.80502300937613,10.761290322581772
1958-11-01,174.45343256033084,-50.55068356978529,-1.9612903225352056
1958-12-01,-136.7377613518329,114.65464028231341,81.3161290322605
1959-01-01,28.581348195133614,-27.721271004112396,41.80645161290886
1959-02-01,-86.07240396528505,67.70318527195292,8.82027649768861
1959-03-01,110.21583041547274,6.523322812413568,13.631336405494949
1959-04-01,70.45128184874193,23.48830944368865,33.62580645165872
1959-05-01,86.7910665312811,3.0530339310330987,-2.658064516115701
1959-06-01,121.19552496862889,-7.678476890138029,-1.7419354839075822
1959-07-01,-239.85658023158612,114.91533711688828,198.0
1959-08-01,19.786072340531973,19.126083365107746,-3.483870967727853
1959-09-01,-89.23883053859754,36.34406637553077,-8.916129032266326
1959-10-01,149.19975157410954,-58.398722148564374,35.23870967744733
1959-11-01,-63.220302946385345,43.98876374924966,85.56129032254103
1959-12-01,38.17010256780486,27.16930290883016,81.27741935482481
1960-01-01,NA,NA,NA
1960-02-01,NA,NA,NA
1960-03-01,NA,NA,NA
1960-04-01,NA,NA,NA
1960-05-01,NA,NA,NA
1960-06-01,NA,NA,NA
1960-07-01,NA,NA,NA
1960-08-01,NA,NA,NA
1960-09-01,NA,NA,NA
1960-10-01,NA,NA,NA
1960-11-01,NA,NA,NA
1960-12-01,NA,NA,NA
1961-01-01,NA,NA,NA
1961-02-01,NA,NA,NA
1961-03-01,NA,NA,NA
1961-04-01,NA,NA,NA
1961-05-01,NA,NA,NA
1961-06-01,NA,NA,NA
1961-07-01,NA,NA,NA
1961-08-01,NA,NA,NA
1961-09-01,NA,NA,NA
1961-10-01,NA,NA,NA
1961-11-01,NA,NA,NA
1961-12-01,NA,NA,NA
1962-01-01,NA,NA,NA
1962-02-01,NA,NA,NA
1962-03-01,NA,NA,NA
1962-04-01,NA,NA,NA
1962-05-01,NA,NA,NA
1962-06-01,NA,NA,NA
1962-07-01,NA,NA,NA
1962-08-01,NA,NA,NA
1962-09-01,NA,NA,NA
1962-10-01,NA,NA,NA
1962-11-01,NA,NA,NA
1962-12-01,NA,NA,NA
1963-01-01,NA,NA,NA
1963-02-01,NA,NA,NA
1963-03-01,NA,NA,NA
1963-04-01,NA,NA,NA
1963-05-01,NA,NA,NA
1963-06-01,NA,NA,NA
1963-07-01,NA,NA,NA
1963-08-01,NA,NA,NA
1963-09-01,NA,NA,NA
1963-10-01,NA,NA,NA
1963-11-01,NA,NA,NA
1963-12-01,NA,NA,NA
1964-01-01,NA,NA,NA
1964-02-01,21.456168930846616,29.251619299281288,6.1268075639382005
1964-03-01,70.96689242431603,5.911686144174382,-58.38487208011793
1964-04-01,48.387864536081906,36.55096703878621,69.41935483875568
1964-05-01,108.20669940195512,27.310522348378413,11.48387096769875
1964-06-01,49.62856537528569,29.052688881896415,6.91612903229543
1964-07-01,61.11311915171973,-39.256430584701775,-9.625806451658718
1964-08-01,8.111393638406298,6.011991531232269,60.774193548451876
1964-09-01,-51.12405422120355,0.3962165455149318,10.05161290318938
1964-10-01,-39.897378913796274,17.531973060886003,-8.116129032277968
1964-11-01,39.82898133985873,5.728953167918235,20.116129032277968
1964-12-01,33.26549613903626,16.27924271773378,-5.019354838732397
1965-01-01,-9.382378985275864,29.42411403827674,-11.612903225817718
1965-02-01,-27.618276233493816,32.178607095443226,-23.682027649716474
1965-03-01,85.55642361013452,6.327370913306709,20.972350230353186
1965-04-01,37.015026271372335,27.02214679826477,46.94193548394833
1965-05-01,130.8786446742306,3.980133194973689,30.47741935477825
1965-06-01,-26.319163168329396,62.5002421806891,79.92258064518683
1965-07-01,43.48153741155693,8.262673846204962,19.561290322541026
1965-08-01,-64.59793386787351,-12.464555973492281,-13.161290322546847
1965-09-01,-62.24495115765603,46.2252842463501,22.800000000017462
1965-10-01,49.968800048562116,25.130469609066893,-5.767741935473168
1965-11-01,-31.331372762855608,16.790080467096573,19.767741935444064
1965-12-01,34.22122296479938,34.020299744027966,-1.9612903225352056
1966-01-01,NA,NA,NA
1966-02-01,NA,NA,NA
1966-03-01,NA,NA,NA
1966-04-01,NA,NA,NA
1966-05-01,NA,NA,NA
1966-06-01,NA,NA,NA
1966-07-01,NA,NA,NA
1966-08-01,NA,NA,NA
1966-09-01,NA,NA,NA
1966-10-01,NA,NA,NA
1966-11-01,NA,NA,NA
1966-12-01,NA,NA,NA
1967-01-01,NA,NA,NA
1967-02-01,NA,NA,NA
1967-03-01,NA,NA,NA
