date,dx,dy,dz
1977-02-01,87.31428571428114,40.400000000001455,49.68571428573341
1977-03-01,-14.682027649771044,-79.54838709677279,-5.350230414740508
1977-04-01,-53.03225806451155,-85.6516129032243,137.664516128978
1977-05-01,230.70967741935237,53.909677419349464,82.9806451612967
1977-06-01,151.69032258064908,-50.30967741934728,-194.9806451612385
1977-07-01,-90.79999999999927,-47.60000000000582,141.5999999999476
1977-08-01,-195.60000000000218,-215.1448275862058,80.73103448280017
1977-09-01,-92.2758620689674,2.4827586206847627,31.44827586208703
1977-10-01,93.07586206896667,8.26206896552685,-145.37931034484063
1977-11-01,148.5793103448268,29.806896551723185,-56.96551724142046
1977-12-01,91.39488320356031,66.18020022246492,-129.35706340378965
1978-01-01,-205.97419354839076,-136.38709677418956,32.722580645175185
1978-02-01,153.77142857142826,-4.14285714286234,44.17142857139697
1978-03-01,-157.21658986174225,-113.40552995391408,197.5576036866987
1978-04-01,258.7141268075575,33.41045606229454,-97.09454949948122
1978-05-01,58.73103448276015,-187.86206896552176,250.56551724139717
1978-06-01,289.6827586206855,138.79999999999927,-267.20000000004075
1978-07-01,24.827586206902197,30.02758620689201,0.4965517242089845
1978-08-01,-327.8320839580265,-192.30584707645176,190.14692653666134
1978-09-01,-45.33540372670177,127.62111801241917,10.9565217391646
1978-10-01,14.257142857142753,68.65714285713693,-109.9999999999709
1978-11-01,-39.986206896555814,-60.08571428571304,-156.0689655172464
1978-12-01,15.086206896557997,-209.21428571428623,-126.43103448281181
1979-01-01,27.28260869564474,-0.5434782608645037,38.760869565216126
1979-02-01,54.503105590069026,-34.95652173913186,-13.546583850926254
1979-03-01,-26.83410138249019,-39.87096774193196,114.12442396319238
1979-04-01,51.14838709677133,-84.92903225806367,-42.43870967742987
1979-05-01,481.10967741935383,75.63870967741605,-142.9806451612967
1979-06-01,53.979977753060666,23.50611790878611,-67.0745272525528
1979-07-01,40.858731924359745,-4.538375973308575,-23.506117908720626
1979-08-01,-279.48387096773877,-156.38709677418774,84.77419354836456
1979-09-01,7.3147942157920625,-52.177975528367824,-20.302558398252586
1979-10-01,-168.97931034482463,-237.6413793103402,119.48965517239412
1979-11-01,73.19999999999345,98.79999999999745,-132.39999999999418
1979-12-01,40.077419354845915,-55.17419354838603,-188.1777777777461
1980-01-01,-0.7741935483863926,37.16129032257959,-0.6222222222131677
1980-02-01,-26.28253615128051,8.716351501670943,47.542857142863795
1980-03-01,108.97931034482463,107.29655172413368,-95.14285714286962
1980-04-01,39.57241379311017,-43.986206896552176,5.172413793130545
1980-05-01,310.1179087875389,8.489432703003331,-107.55951056731283
1980-06-01,-38.49032258064835,-40.90322580644715,65.18709677419974
1980-07-01,148.03870967742114,61.41935483870839,-179.3806451612909
1980-08-01,-231.48387096773877,-46.451612903227215,84.0
1980-09-01,-172.45828698554033,-55.79532814237973,-39.35038932150928
1980-10-01,-77.99332591768689,-141.23692992213728,179.09232480532955
1980-11-01,-31.703225806450064,5.264516129032927,-76.76129032258177
1980-12-01,107.96129032257522,-41.65161290322612,-134.59354838705622
1981-01-01,49.93548387096598,70.83870967742041,-140.90322580645443
1981-02-01,-163.81105990782817,-99.3870967741932,147.95391705067595
1981-03-01,79.81105990782817,29.709677419352374,296.04608294932405
1981-04-01,175.30322580645588,-243.56682027649367,-22.903225806425326
1981-05-01,410.8000000000029,137.11520737327191,-272.45161290321266
1981-06-01,262.79999999999563,-205.7753058954404,-110.74838709679898
1981-07-01,-106.83870967742041,-256.88275862068804,212.16774193543824
1981-08-01,0.3870967741931963,128.20645161290122,93.6774193549063
1981-09-01,-295.1483870967677,-1.4064516129019466,-248.24516129039694
1981-10-01,-313.75483870968674,-35.75483870967764,198.6967741935805
1981-11-01,102.55483870968237,-6.245161290322358,-109.09677419357467
1981-12-01,69.7032258064537,-93.62580645161506,-289.22580645160633
1982-01-01,-1.5483870967727853,123.48387096774422,-128.90322580645443
1982-02-01,-517.3548387096816,-196.68663594470127,475.2718894009595
1982-03-01,539.2000000000007,84.02857142857101,-357.1428571428987
1982-04-01,84.0,-11.200000000000728,30.39999999999418
1982-05-01,286.67096774193124,65.79354838709696,-249.39999999999418
1982-06-01,156.5290322580695,-13.793548387095143,172.20000000006985
1982-07-01,-139.88387096774022,-150.33548387096744,28.92903225804912
1982-08-01,-126.96774193548845,-152.12903225806804,302.7096774193633
1982-09-01,-92.34838709677206,-185.9354838709678,70.76129032258177
1982-10-01,-40.425806451614335,132.1290322580644,-280.18064516130835
1982-11-01,-89.57419354838203,-116.52903225806222,-85.81935483869165
1982-12-01,-95.84516129032272,-52.63225806451737,-15.987096774217207
1983-01-01,48.0,199.3548387096762,-271.7419354839076
1983-02-01,-156.49769585254035,-110.32258064515918,194.12903225808986
1983-03-01,176.23963133640427,275.6129032258068,-314.12903225808986
1983-04-01,25.188940092171833,-382.1129032258068,150.35125448033796
1983-05-01,137.39170506912342,-29.37096774193742,-24.544802867429098
1983-06-01,244.722580645157,315.4709677419378,-81.27741935482481
1983-07-01,161.60000000000582,-122.60000000000036,-240.39999999999418
1983-08-01,-227.00000000000364,-63.8571428571413,0.0
1983-09-01,-233.39999999999782,-27.942857142859793,24.0
1983-10-01,-149.92258064516136,-115.99999999999818,77.0322580645443
1983-11-01,45.52258064516354,-42.85517241379421,-96.23225806452683
1983-12-01,103.50967741934801,12.49388209121389,-169.3161290322896
1984-01-01,153.29032258064763,-80.03870967742296,-134.28387096774532
1984-02-01,-106.85714285713766,-109.0857142857094,46.80000000001746
