date,dx,dy,dz
1926-02-01,-121.04992942365061,-39.7646825575157,150.8866995073913
1926-03-01,-74.32773062186607,-24.35883245887635,26.571428571478464
1926-04-01,NA,NA,NA
1926-05-01,NA,NA,NA
1926-06-01,258.0757195552869,-29.8612200621792,-358.90909090905916
1926-07-01,-188.20795799519692,-51.278803428558604,-170.83284457484842
1926-08-01,-117.18908642792667,-64.9977048269011,-52.71960297762416
1926-09-01,-138.6489595453022,-68.00398679010868,-2.738461538509
1926-10-01,-115.73193306474423,-43.37154707468471,36.103225806495175
1926-11-01,57.081993836021866,-42.623203505467245,57.52534562215442
1926-12-01,-98.42886871303199,-73.13453882990507,96.92626728102914
1927-01-01,-196.6226559609786,-59.72139445481116,-8.182424916507443
1927-02-01,29.36243482644204,-41.034542410170616,39.59681697605993
1927-03-01,-54.58873674234201,-46.96970518098715,109.10173697271966
1927-04-01,4.519556854022085,-53.48944641265916,229.3290322581015
1927-05-01,54.28916764802125,-92.92307069765411,73.58260869563674
1927-06-01,NA,NA,200.21739130435162
1927-07-01,NA,NA,254.25
1927-08-01,NA,NA,NA
1927-09-01,NA,NA,NA
1927-10-01,NA,NA,NA
1927-11-01,NA,NA,NA
1927-12-01,NA,NA,NA
1928-01-01,NA,NA,NA
1928-02-01,NA,NA,NA
1928-03-01,-123.2220908235322,-41.14027881207949,-27.857142857130384
1928-04-01,-159.58095524314558,-26.51491537185757,102.48571428575087
1928-05-01,-356.755961487419,-48.90323299971715,7.767741935444064
1928-06-01,-166.0518518822064,-30.746127864551454,-121.36774193544989
1928-07-01,-233.43210240609187,-65.9644181129679,-203.0193548387324
1928-08-01,62.26650506637816,-16.76892360072634,-30.580645161273424
1928-09-01,-368.25459954998223,-78.01850042449587,-454.0000000000291
1928-10-01,-254.93168855561817,-63.32034588245915,-65.85714285710128
1928-11-01,-1.1603427141235443,-11.479735750453983,-122.57142857147846
1928-12-01,62.695476532011526,-16.850775267883364,-130.99078341011773
1929-01-01,-103.37830625203787,-31.6790963833555,869.4193548387266
1929-02-01,-210.5738658214541,-68.05344648004575,31.111111111094942
1929-03-01,-91.71320031560026,-5.3565429317914095,3.2888888889283407
1929-04-01,150.27352821500972,-75.56763665439757,-12.486956521781394
1929-05-01,-3.133534743305063,-77.71493532740351,114.22488755628001
1929-06-01,-27.548151856273762,-38.276002231277744,33.06206896546064
1929-07-01,-171.81627853718237,-32.2520370246566,69.94285714288708
1929-08-01,-31.441738078239723,-55.275215693050995,88.34101382485824
1929-09-01,-133.2341362284642,-80.18111026068618,-45.690767519467045
1929-10-01,-139.12259860063205,-75.92236623082499,-29.018909899896244
1929-11-01,-42.47151285423024,-81.1733677098,9.225806451664539
1929-12-01,-89.69197722281388,-46.233766219918834,63.16129032251774
1930-01-01,2.098178984335391,-81.94515650335597,-85.93548387091141
1930-02-01,-78.38647892497829,-41.68275001870461,1.2027649769734126
1930-03-01,-51.957176146272104,-44.40777539083865,-10.105990783427842
1930-04-01,-103.39756067481358,-85.88390553210047,40.87741935480153
1930-05-01,-42.9596300690464,-73.20493307142533,36.662068965495564
1930-06-01,-34.14774234851939,-63.52069460651728,91.41065830725711
1930-07-01,48.887017263594316,-85.17333470525591,-70.6275659823732
1930-08-01,-90.26700918645656,-58.97069625576114,18.55483870964963
1930-09-01,-163.62579454344814,-78.18751764361696,7.599999999976717
1930-10-01,-118.89056501044251,-84.21833882457577,73.71612903228379
1930-11-01,40.44920338092197,-53.78213171531024,-42.51612903230125
1930-12-01,-10.469088506288244,-49.69750104765808,38.645161290391115
1931-01-01,79.75005900819087,-80.14349730488539,-82.06451612908859
1931-02-01,-66.1205741823942,-71.39620992785058,-30.580645161273424
1931-03-01,-38.802079426983255,-36.05176394716182,-151.55555555553292
1931-04-01,55.73068551493634,-98.24625892007134,-62.66666666671517
1931-05-01,-124.32356275431812,-30.52042187641382,16.802867383521516
1931-06-01,-41.23912167841627,-44.540534567131544,-43.38064516126178
1931-07-01,-41.58705046518298,-67.75482726356495,-97.52258064519265
1931-08-01,-139.95654763653874,-67.5324857624164,-42.967741935455706
1931-09-01,-156.28449944758904,-46.16333246551767,-8.502780867624097
1931-10-01,-195.13183477333223,-76.34030330360838,-14.514588859397918
1931-11-01,-3.422799974185182,-64.29592308960127,-77.10407239824417
1931-12-01,35.29093345742149,-81.33341498074878,-85.07099391479278
1932-01-01,-35.35102179610112,-5.158842334549263,-168.41379310347838
1932-02-01,-101.47935748942837,-52.97916059029012,-36.0
1932-03-01,-50.200344995435444,-60.13955402511601,-20.689655172347557
1932-04-01,-24.28308599202137,-54.011089053155956,56.78620689656236
1932-05-01,-75.57668119271693,-46.120136027651824,53.896774193504825
1932-06-01,50.38547708364786,-69.78522224376866,-73.49677419356885
1932-07-01,-10.176938049931778,-63.90646861789719,-11.664516128977994
1932-08-01,-113.48352886761131,-59.866828960210114,29.80645161290886
1932-09-01,-108.63896876166109,-52.891066878237325,12.658064516057493
1932-10-01,-1.0214518393477192,-47.20033774747935,121.27741935485392
1932-11-01,-43.31740954017732,-30.407786976355055,-38.877419354830636
1932-12-01,-120.32979417582101,-77.42487371370953,45.07096774192178
1933-01-01,-119.01710808962525,-26.675713470811388,-40.6451612902747
1933-02-01,-6.862675176205812,-35.59215296253933,-80.65437788024428
1933-03-01,-64.89732782241481,-65.56407089767163,137.5576036866987
1933-04-01,-31.22505367746635,-17.98962241236768,-14.529032258084044
1933-05-01,-146.28515316659468,-23.405284218924862,-150.76129032255267
1933-06-01,71.48725022481813,13.58316304118489,-81.63870967747062
