date,dx,dy,dz
1960-02-01,55.450695275649196,-3.211523601654335,-62.66666666671517
1960-03-01,51.167352933916845,13.668402226929175,-27.25396825396456
1960-04-01,-87.6024064552621,97.84954862250379,139.34285714288126
1960-05-01,109.79842274961993,5.2512062059995515,51.93043478258187
1960-06-01,115.32477572702919,-27.71904860900213,-72.0
1960-07-01,-32.869640664881445,41.032537747709284,50.86956521740649
1960-08-01,-20.101586148521164,21.853106665506857,34.615384615404764
1960-09-01,-69.98780218012689,72.60967180727857,18.90461538458476
1960-10-01,-14.24608585544047,19.581274946440317,130.98000000001048
1960-11-01,29.56604786470416,42.99572903493754,52.35714285710128
1960-12-01,36.10551338621008,-24.186988227666006,64.69841269843164
1961-01-01,140.26079411008686,-21.84501166642258,-96.93486590040266
1961-02-01,37.640955161332386,77.48990820204563,48.68365817097947
1961-03-01,67.17618607373151,-40.20531486282562,-48.44720496897935
1961-04-01,68.8531483909901,33.35581085726517,-41.57142857139115
1961-05-01,71.54228538875759,40.978264460263745,-96.42857142860885
1961-06-01,48.24228260833479,21.188347047271236,42.52747252746485
1961-07-01,-100.30783379651257,60.73870250703476,112.61538461540476
1961-08-01,80.96839749669016,-19.076538128700122,7.714285714260768
1961-09-01,-32.39147575937386,44.06748431448068,-32.67428571428172
1961-10-01,-27.563321336492663,42.881481551485194,70.65230769236223
1961-11-01,61.87608766845369,14.453587166333818,40.45054945052834
1961-12-01,61.40302631969098,-9.677626743081419,-2.142857142869616
1962-01-01,93.86065752511786,-4.621758208917527,4.400000000023283
1962-02-01,38.96620104572503,20.81467068839447,-3.511111111147329
1962-03-01,119.5934351352771,-2.890670626451538,-55.28888888887013
1962-04-01,34.87104814717895,44.49791877100506,22.092307692335453
1962-05-01,99.86460255572456,4.314658587534723,13.727047146385303
1962-06-01,38.958127041725675,1.075925033464955,-1.8193548386916518
1962-07-01,10.985190951934783,43.16528252131502,6.744827586138854
1962-08-01,-21.977034015915706,18.654566064105893,34.65517241382622
1962-09-01,-52.48545319211553,59.91850608218374,65.08695652175811
1962-10-01,-30.722662615851732,35.398607956831256,51.65217391305487
1962-11-01,82.80797367019113,3.71044043029724,52.118012422317406
1962-12-01,27.710819828222157,50.47372953585,19.47619047621265
1963-01-01,74.0513395137823,-15.109722415192664,-36.888888888875954
1963-02-01,37.15743042479153,5.704130849082503,10.66666666668607
1963-03-01,72.92716154147638,17.4122302669457,-20.90421455941396
1963-04-01,52.32944293948822,15.117005655216417,-0.827586206869455
1963-05-01,21.03896521049319,30.668024880413213,-12.979310344846454
1963-06-01,50.64596677059308,14.99663770749794,75.8758620689332
1963-07-01,38.547260503444704,25.0432528751644,-20.68965517243487
1963-08-01,-46.878122341353446,37.25787606230915,14.0137931034551
1963-09-01,-52.311527300218586,51.6913281153993,65.00000000005821
1963-10-01,9.340500760023133,18.366857958810215,78.32307692302857
1963-11-01,74.41350459799287,1.8643569604846562,65.07692307693651
1963-12-01,54.26288579052198,25.535478389430864,-33.31034482756513
1964-01-01,27.30549835714919,18.659086857693183,9.310344827565132
1964-02-01,25.725299577767146,17.915677784269064,1.5555555555329192
1964-03-01,54.54268511882401,-23.24563504836624,-22.66666666668607
1964-04-01,44.41899214465229,52.89698893115565,-7.174603174586082
1964-05-01,81.57527584004856,29.726271656585595,4.07881773400004
1964-06-01,67.73887673574791,-11.429913963926083,8.275862068956485
1964-07-01,30.892655032861512,7.818274879744422,-19.875417130126152
1964-08-01,-4.589319063001312,13.245141602914373,12.606451612897217
1964-09-01,-12.668238599828328,32.85480537277908,12.75555555554456
1964-10-01,-8.46040437935153,31.172552443225868,72.0444444444438
1964-11-01,67.57866727976943,0.7820799858782266,16.000000000029104
1964-12-01,64.18054658004257,7.636143111087222,-19.341935483913403
1965-01-01,-16.435198465391295,18.17891880847492,14.709677419363288
1965-02-01,5.986441857938189,21.12790381080049,28.587813620106317
1965-03-01,43.874528908359935,11.776117722714844,-4.9749103942885995
1965-04-01,34.05301831832912,50.66343460708413,14.522803114552516
1965-05-01,88.17396419002034,2.520798069295779,-16.071190211281646
1965-06-01,50.5396974379546,15.50178304541987,46.82488479258609
1965-07-01,2.6406980373576516,11.846691017282865,19.755760368687334
1965-08-01,-0.6860004985355772,16.169678285523332,-2.322580645181006
1965-09-01,-34.435274230112555,41.62162640999122,21.744160177971935
1965-10-01,42.55761766861542,-2.2530005393127794,36.707452725298936
1965-11-01,47.02116964632296,28.551879250902857,42.65806451605749
1965-12-01,47.46523793425877,23.66702358970724,28.56774193549063
1966-01-01,28.827029170715832,-8.16740190731798,-6.967741935455706
1966-02-01,19.433878115043626,6.618685935703979,-2.2222222221898846
1966-03-01,-9.019944621381,23.86890271043194,37.3650793650595
1966-04-01,52.78866765876592,12.84535227687229,7.6571428571187425
1966-05-01,36.111715766761336,25.17593791030413,8.510344827576773
1966-06-01,80.67333148773469,8.534891297573267,42.28965517246979
1966-07-01,2.0926792730024317,25.840945719917727,-11.200000000011642
1966-08-01,3.007891446148278,31.081392005891757,41.20000000001164
1966-09-01,-127.66514332550287,73.90471528426679,132.39999999999418
1966-10-01,85.89726657541178,-19.860830307516153,-23.285714285768336
1966-11-01,58.27629027805233,12.313034232291102,23.142857142869616
1966-12-01,-7.22981349589827,22.444624139990992,29.246305418695556
1967-01-01,32.021692116890335,24.87669141663173,110.89655172417406
1967-02-01,18.289716928411508,7.9796033682978305,-36.48000000001048
1967-03-01,102.97388800389308,-25.366222390952316,-59.907096774171805
1967-04-01,44.8427169246861,32.69207198715958,-20.302558398252586
